;S 120 Deep Blue G;S 115 Peacock B G;S 090 Dark Y G G;S 101 Yellow G;S 022 Dark Amber G;S 019 Fire G;S 106 Primary Red G;S 170 Deep Lav G;S 137 Special Lav G;S 117 Steel Blue G;S 088 Lime Green G;S 156 Chocolate G;S  652 U Sodium G;S 111 Dark Pink G;S 200 Double CTB G;S 204 Full CTO G;S 181 Congo B D;S 071 Tokyo Blue D;S 119 Dark Blue D;S 138 P Green D;S 158 Deep Orange D;S 126 Mauve D
462;8,968e-003;3,297e-003;1,725e-004;4,779e-006;1,493e-027;9,923e-006;1,705e-005;8,904e-003;8,940e-003;5,007e-003;3,254e-004;2,400e-003;1,831e-004;6,281e-003;8,937e-003;1,422e-003;8,975e-003;8,986e-003;6,155e-003;3,178e-004;8,999e-005;8,992e-003
464;9,087e-003;2,755e-003;1,487e-004;7,398e-006;1,500e-027;7,569e-006;1,165e-005;8,885e-003;9,015e-003;4,161e-003;2,957e-004;2,067e-003;1,652e-004;5,241e-003;9,028e-003;1,244e-003;9,092e-003;9,103e-003;5,084e-003;2,879e-004;7,895e-005;9,109e-003
466;9,137e-003;2,290e-003;1,305e-004;1,054e-005;1,506e-027;5,951e-006;6,588e-006;8,476e-003;8,848e-003;3,434e-003;2,732e-004;1,793e-003;1,519e-004;4,277e-003;8,909e-003;1,098e-003;9,096e-003;9,132e-003;4,100e-003;2,669e-004;7,036e-005;9,123e-003
468;8,929e-003;1,924e-003;1,163e-004;1,491e-005;1,506e-027;4,552e-006;3,096e-006;7,519e-003;8,198e-003;2,877e-003;2,548e-004;1,573e-003;1,406e-004;3,547e-003;8,323e-003;9,801e-004;8,759e-003;8,864e-003;3,364e-003;2,488e-004;6,275e-005;8,816e-003
470;8,133e-003;1,615e-003;1,079e-004;2,037e-005;1,502e-027;3,316e-006;1,037e-008;6,078e-003;6,901e-003;2,412e-003;2,374e-004;1,371e-003;1,292e-004;2,958e-003;7,063e-003;8,700e-004;7,771e-003;7,975e-003;2,780e-003;2,321e-004;5,585e-005;7,871e-003
472;6,897e-003;1,383e-003;1,034e-004;2,758e-005;1,499e-027;3,801e-006;1,499e-027;4,895e-003;5,574e-003;2,070e-003;2,253e-004;1,213e-003;1,221e-004;2,532e-003;5,707e-003;7,827e-004;6,437e-003;6,683e-003;2,361e-003;2,210e-004;4,917e-005;6,548e-003
474;5,512e-003;1,181e-003;1,029e-004;3,705e-005;3,954e-007;2,690e-006;1,500e-027;4,002e-003;4,472e-003;1,769e-003;2,179e-004;1,076e-003;1,162e-004;2,158e-003;4,549e-003;7,079e-004;5,095e-003;5,300e-003;1,992e-003;2,140e-004;4,367e-005;5,175e-003
476;4,303e-003;9,940e-004;1,051e-004;4,905e-005;1,951e-006;3,334e-006;1,497e-027;3,290e-003;3,617e-003;1,492e-003;2,160e-004;9,546e-004;1,146e-004;1,814e-003;3,647e-003;6,441e-004;3,994e-003;4,129e-003;1,653e-003;2,123e-004;3,937e-005;4,032e-003
478;3,392e-003;8,351e-004;1,122e-004;6,480e-005;6,127e-006;4,162e-006;1,500e-027;2,719e-003;2,955e-003;1,259e-003;2,226e-004;8,594e-004;1,165e-004;1,521e-003;2,949e-003;6,010e-004;3,167e-003;3,253e-003;1,361e-003;2,207e-004;3,688e-005;3,177e-003
480;2,694e-003;7,074e-004;1,252e-004;8,367e-005;1,156e-005;5,315e-006;1,501e-027;2,267e-003;2,435e-003;1,073e-003;2,378e-004;7,915e-004;1,232e-004;1,283e-003;2,399e-003;5,759e-004;2,531e-003;2,586e-003;1,123e-003;2,353e-004;3,524e-005;2,527e-003
482;2,143e-003;6,108e-004;1,449e-004;1,096e-004;1,949e-005;8,996e-006;1,501e-027;1,918e-003;2,034e-003;9,339e-004;2,636e-004;7,518e-004;1,345e-004;1,095e-003;1,966e-003;5,714e-004;2,030e-003;2,069e-003;9,403e-004;2,610e-004;3,577e-005;2,020e-003
484;1,718e-003;5,494e-004;1,740e-004;1,426e-004;2,890e-005;1,271e-005;1,497e-027;1,664e-003;1,743e-003;8,426e-004;3,022e-004;7,392e-004;1,533e-004;9,569e-004;1,650e-003;5,878e-004;1,656e-003;1,678e-003;8,096e-004;2,999e-004;3,634e-005;1,639e-003
486;1,429e-003;5,228e-004;2,114e-004;1,837e-004;3,952e-005;1,701e-005;1,493e-027;1,511e-003;1,566e-003;7,995e-004;3,493e-004;7,533e-004;1,780e-004;8,731e-004;1,451e-003;6,231e-004;1,409e-003;1,418e-003;7,352e-004;3,465e-004;3,953e-005;1,384e-003
488;1,207e-003;5,193e-004;2,592e-004;2,331e-004;5,383e-005;2,356e-005;1,488e-027;1,411e-003;1,451e-003;7,893e-004;4,088e-004;7,868e-004;2,084e-004;8,152e-004;1,313e-003;6,747e-004;1,224e-003;1,221e-003;6,941e-004;4,072e-004;4,385e-005;1,188e-003
490;1,029e-003;5,367e-004;3,199e-004;2,944e-004;7,227e-005;3,108e-005;1,479e-027;1,348e-003;1,381e-003;8,047e-004;4,834e-004;8,378e-004;2,459e-004;7,773e-004;1,222e-003;7,438e-004;1,083e-003;1,067e-003;6,790e-004;4,820e-004;4,822e-005;1,032e-003
492;8,803e-004;5,742e-004;3,958e-004;3,704e-004;9,539e-005;4,073e-005;1,468e-027;1,317e-003;1,349e-003;8,452e-004;5,764e-004;9,078e-004;2,921e-004;7,540e-004;1,169e-003;8,304e-004;9,767e-004;9,461e-004;6,886e-004;5,747e-004;5,334e-005;9,070e-004
494;7,610e-004;6,345e-004;4,883e-004;4,641e-004;1,229e-004;5,235e-005;1,455e-027;1,318e-003;1,358e-003;9,139e-004;6,890e-004;9,987e-004;3,497e-004;7,461e-004;1,156e-003;9,372e-004;9,050e-004;8,580e-004;7,268e-004;6,890e-004;5,969e-005;8,113e-004
496;6,596e-004;7,304e-004;6,127e-004;5,896e-004;1,608e-004;6,876e-005;1,437e-027;1,354e-003;1,413e-003;1,026e-003;8,386e-004;1,120e-003;4,260e-004;7,514e-004;1,186e-003;1,080e-003;8,642e-004;7,984e-004;8,018e-004;8,397e-004;6,893e-005;7,393e-004
