;S 120 Deep Blue G;S 115 Peacock B G;S 090 Dark Y G G;S 101 Yellow G;S 022 Dark Amber G;S 019 Fire G;S 106 Primary Red G;S 170 Deep Lav G;S 137 Special Lav G;S 117 Steel Blue G;S 088 Lime Green G;S 156 Chocolate G;S  652 U Sodium G;S 111 Dark Pink G;S 200 Double CTB G;S 204 Full CTO G;S 181 Congo B D;S 071 Tokyo Blue D;S 119 Dark Blue D;S 138 P Green D;S 158 Deep Orange D;S 126 Mauve D
722;4,939e-027;4,939e-027;4,939e-027;4,939e-027;4,939e-027;4,939e-027;4,939e-027;3,253e-004;1,897e-004;9,046e-005;8,234e-005;3,388e-004;1,436e-005;2,153e-004;2,396e-005;2,654e-004;4,939e-027;4,939e-027;4,939e-027;8,196e-005;4,939e-027;4,939e-027
724;5,086e-027;5,086e-027;5,086e-027;5,086e-027;5,086e-027;5,086e-027;5,086e-027;3,005e-004;1,750e-004;8,160e-005;7,776e-005;3,216e-004;9,626e-006;2,016e-004;1,692e-005;2,471e-004;5,086e-027;5,086e-027;5,086e-027;7,507e-005;5,086e-027;5,086e-027
726;5,257e-027;5,257e-027;5,257e-027;5,257e-027;5,257e-027;5,257e-027;5,257e-027;2,817e-004;1,578e-004;7,370e-005;6,729e-005;3,016e-004;4,634e-006;1,837e-004;1,121e-005;2,316e-004;5,257e-027;5,257e-027;5,257e-027;6,999e-005;5,257e-027;5,257e-027
728;5,420e-027;5,420e-027;5,420e-027;5,420e-027;5,420e-027;5,420e-027;5,420e-027;2,589e-004;1,446e-004;6,779e-005;6,228e-005;2,819e-004;1,770e-007;1,665e-004;5,317e-006;2,184e-004;5,420e-027;5,420e-027;5,420e-027;6,308e-005;5,420e-027;5,420e-027
730;5,585e-027;5,585e-027;5,585e-027;5,585e-027;5,585e-027;5,585e-027;5,585e-027;2,407e-004;1,327e-004;5,747e-005;5,819e-005;2,651e-004;2,314e-007;1,560e-004;8,337e-007;2,025e-004;5,585e-027;5,585e-027;5,585e-027;5,618e-005;5,585e-027;5,585e-027
732;5,760e-027;5,760e-027;5,760e-027;5,760e-027;5,760e-027;5,760e-027;5,760e-027;2,232e-004;1,173e-004;5,054e-005;5,180e-005;2,450e-004;5,760e-027;1,455e-004;5,760e-027;1,868e-004;5,760e-027;5,760e-027;5,760e-027;4,946e-005;5,760e-027;5,760e-027
734;5,967e-027;5,967e-027;5,967e-027;5,967e-027;5,967e-027;5,967e-027;5,967e-027;2,028e-004;1,052e-004;4,174e-005;4,866e-005;2,311e-004;5,967e-027;1,333e-004;5,967e-027;1,745e-004;5,967e-027;5,967e-027;5,967e-027;4,365e-005;5,967e-027;5,967e-027
736;6,166e-027;6,166e-027;6,166e-027;6,166e-027;6,166e-027;6,166e-027;6,166e-027;1,888e-004;9,662e-005;3,834e-005;4,062e-005;2,183e-004;6,166e-027;1,226e-004;6,166e-027;1,607e-004;6,166e-027;6,166e-027;6,166e-027;3,952e-005;6,166e-027;6,166e-027
738;6,381e-027;6,381e-027;6,381e-027;6,381e-027;6,381e-027;6,381e-027;6,381e-027;1,767e-004;8,363e-005;3,499e-005;4,053e-005;2,039e-004;6,381e-027;1,126e-004;6,381e-027;1,521e-004;6,381e-027;6,381e-027;6,381e-027;3,608e-005;6,381e-027;6,381e-027
740;6,602e-027;6,602e-027;6,602e-027;6,602e-027;6,602e-027;6,602e-027;6,602e-027;1,634e-004;6,999e-005;2,868e-005;3,887e-005;1,888e-004;6,602e-027;1,020e-004;6,602e-027;1,430e-004;6,602e-027;6,602e-027;6,602e-027;3,173e-005;6,602e-027;6,602e-027
742;6,870e-027;6,870e-027;6,870e-027;6,870e-027;6,870e-027;6,870e-027;6,870e-027;1,461e-004;6,136e-005;2,047e-005;3,482e-005;1,797e-004;6,870e-027;9,372e-005;6,870e-027;1,292e-004;6,870e-027;6,870e-027;6,870e-027;2,526e-005;6,870e-027;6,870e-027
744;7,127e-027;7,127e-027;7,127e-027;7,127e-027;7,127e-027;7,127e-027;7,127e-027;1,315e-004;5,106e-005;1,875e-005;2,752e-005;1,723e-004;7,127e-027;8,394e-005;7,127e-027;1,191e-004;7,127e-027;7,127e-027;7,127e-027;2,080e-005;7,127e-027;7,127e-027
746;7,397e-027;7,397e-027;7,397e-027;7,397e-027;7,397e-027;7,397e-027;7,397e-027;1,167e-004;4,226e-005;1,198e-005;2,631e-005;1,565e-004;7,397e-027;7,816e-005;7,397e-027;1,124e-004;7,397e-027;7,397e-027;7,397e-027;1,845e-005;7,397e-027;7,397e-027
748;7,685e-027;7,685e-027;7,685e-027;7,685e-027;7,685e-027;7,685e-027;7,685e-027;1,049e-004;3,312e-005;5,864e-006;2,008e-005;1,449e-004;7,685e-027;6,866e-005;7,685e-027;1,030e-004;7,685e-027;7,685e-027;7,685e-027;1,639e-005;7,685e-027;7,685e-027
750;8,041e-027;8,041e-027;8,041e-027;8,041e-027;8,041e-027;8,041e-027;8,041e-027;9,523e-005;2,640e-005;6,595e-008;2,179e-005;1,384e-004;8,041e-027;6,288e-005;8,041e-027;9,086e-005;8,041e-027;8,041e-027;8,041e-027;1,140e-005;8,041e-027;8,041e-027
752;8,391e-027;8,391e-027;8,391e-027;8,391e-027;8,391e-027;8,391e-027;8,391e-027;7,932e-005;1,601e-005;8,391e-027;1,605e-005;1,271e-004;8,391e-027;5,476e-005;8,391e-027;8,788e-005;8,391e-027;8,391e-027;8,391e-027;8,113e-006;8,391e-027;8,391e-027
754;8,766e-027;8,766e-027;8,766e-027;8,766e-027;8,766e-027;8,766e-027;8,766e-027;6,961e-005;9,840e-006;8,766e-027;1,260e-005;1,174e-004;8,766e-027;4,612e-005;8,766e-027;7,800e-005;8,766e-027;8,766e-027;8,766e-027;6,314e-006;8,766e-027;8,766e-027
756;9,183e-027;9,183e-027;9,183e-027;9,183e-027;9,183e-027;9,183e-027;9,183e-027;5,803e-005;1,443e-006;9,183e-027;8,649e-006;1,096e-004;9,183e-027;3,749e-005;9,183e-027;6,823e-005;9,183e-027;9,183e-027;9,183e-027;7,206e-007;9,183e-027;9,183e-027
758;9,680e-027;9,680e-027;9,680e-027;9,680e-027;9,680e-027;9,680e-027;9,680e-027;4,949e-005;9,680e-027;9,680e-027;6,497e-006;1,063e-004;9,680e-027;3,180e-005;9,680e-027;5,401e-005;9,680e-027;9,680e-027;9,680e-027;3,475e-006;9,680e-027;9,680e-027
760;1,015e-026;1,015e-026;1,015e-026;1,015e-026;1,015e-026;1,015e-026;1,015e-026;3,593e-005;1,015e-026;1,015e-026;1,218e-006;9,379e-005;1,015e-026;2,319e-005;1,015e-026;4,580e-005;1,015e-026;1,015e-026;1,015e-026;1,015e-026;1,015e-026;1,015e-026
762;1,066e-026;1,066e-026;1,066e-026;1,066e-026;1,066e-026;1,066e-026;1,066e-026;2,790e-005;1,066e-026;1,066e-026;1,019e-006;8,678e-005;1,066e-026;1,951e-005;1,066e-026;4,096e-005;1,066e-026;1,066e-026;1,066e-026;1,066e-026;1,066e-026;1,066e-026
764;1,123e-026;1,123e-026;1,123e-026;1,123e-026;1,123e-026;1,123e-026;1,123e-026;9,642e-006;1,123e-026;1,123e-026;1,123e-026;6,743e-005;1,123e-026;8,728e-006;1,123e-026;3,188e-005;1,123e-026;1,123e-026;1,123e-026;1,123e-026;1,123e-026;1,123e-026
766;1,187e-026;1,187e-026;1,187e-026;1,187e-026;1,187e-026;1,187e-026;1,187e-026;2,671e-006;1,187e-026;1,187e-026;1,187e-026;6,082e-005;1,187e-026;1,587e-006;1,187e-026;2,456e-005;1,187e-026;1,187e-026;1,187e-026;1,187e-026;1,187e-026;1,187e-026
768;1,252e-026;1,252e-026;1,252e-026;1,252e-026;1,252e-026;1,252e-026;1,252e-026;1,252e-026;1,252e-026;1,252e-026;1,252e-026;5,696e-005;1,252e-026;1,252e-026;1,252e-026;1,234e-005;1,252e-026;1,252e-026;1,252e-026;1,252e-026;1,252e-026;1,252e-026
770;1,321e-026;1,321e-026;1,321e-026;1,321e-026;1,321e-026;1,321e-026;1,321e-026;1,321e-026;1,321e-026;1,321e-026;1,321e-026;5,560e-005;1,321e-026;1,321e-026;1,321e-026;3,255e-006;1,321e-026;1,321e-026;1,321e-026;1,321e-026;1,321e-026;1,321e-026
772;1,401e-026;1,401e-026;1,401e-026;1,401e-026;1,401e-026;1,401e-026;1,401e-026;1,401e-026;1,401e-026;1,401e-026;1,401e-026;5,117e-005;1,401e-026;1,401e-026;1,401e-026;3,685e-007;1,401e-026;1,401e-026;1,401e-026;1,401e-026;1,401e-026;1,401e-026
774;1,487e-026;1,487e-026;1,487e-026;1,487e-026;1,487e-026;1,487e-026;1,487e-026;1,487e-026;1,487e-026;1,487e-026;1,487e-026;3,265e-005;1,487e-026;1,487e-026;1,487e-026;1,487e-026;1,487e-026;1,487e-026;1,487e-026;1,487e-026;1,487e-026;1,487e-026
776;1,575e-026;1,575e-026;1,575e-026;1,575e-026;1,575e-026;1,575e-026;1,575e-026;1,575e-026;1,575e-026;1,575e-026;1,575e-026;2,350e-005;1,575e-026;1,575e-026;1,575e-026;1,575e-026;1,575e-026;1,575e-026;1,575e-026;1,575e-026;1,575e-026;1,575e-026
778;1,670e-026;1,670e-026;1,670e-026;1,670e-026;1,670e-026;1,670e-026;1,670e-026;1,670e-026;1,670e-026;1,670e-026;1,670e-026;1,442e-005;1,670e-026;1,670e-026;1,670e-026;1,670e-026;1,670e-026;1,670e-026;1,670e-026;1,670e-026;1,670e-026;1,670e-026
780;1,789e-026;1,789e-026;1,789e-026;1,789e-026;1,789e-026;1,789e-026;1,789e-026;1,789e-026;1,789e-026;1,789e-026;1,789e-026;1,005e-005;1,789e-026;1,789e-026;1,789e-026;1,789e-026;1,789e-026;1,789e-026;1,789e-026;1,789e-026;1,789e-026;1,789e-026
