;M44;M43;M42;M41;M40;M39;M38;M37;M36;M35;M34;M33;M32;M31;M30;M29;M28;M27;M26;M25;M24;M23;M22;M21;M20;M19;M18;M17;M16;M15;M14;M13;M12;M11;M10;M9;M8;M7;M6;M5;M4;M3;M2;M1
446;2,203e-006;2,753e-026;2,753e-026;2,726e-002;3,289e-002;3,282e-002;3,287e-002;1,780e-002;4,128e-006;2,753e-026;2,753e-026;2,620e-002;3,287e-002;3,288e-002;3,285e-002;1,771e-002;4,478e-005;2,753e-026;2,753e-026;1,928e-002;3,334e-002;1,622e-002;2,753e-026;2,753e-026;2,753e-026;3,346e-002;3,358e-002;4,413e-003;3,360e-002;2,753e-026;2,753e-026;1,049e-002;7,310e-003;8,236e-003;3,348e-003;5,561e-003;3,285e-003;2,468e-003;2,096e-002;1,457e-002;1,112e-002;6,548e-003;4,904e-003;2,881e-003
448;3,696e-006;2,769e-026;2,769e-026;3,416e-002;4,117e-002;4,109e-002;4,113e-002;2,229e-002;2,769e-026;2,769e-026;2,769e-026;3,283e-002;4,114e-002;4,115e-002;4,110e-002;2,221e-002;5,422e-005;2,769e-026;2,769e-026;2,418e-002;4,171e-002;2,035e-002;2,769e-026;2,769e-026;2,769e-026;4,188e-002;4,203e-002;4,656e-003;4,207e-002;2,769e-026;2,769e-026;1,285e-002;8,784e-003;9,890e-003;3,741e-003;6,556e-003;3,678e-003;2,655e-003;2,567e-002;1,753e-002;1,311e-002;7,351e-003;5,278e-003;3,488e-003
450;2,471e-006;2,798e-026;2,798e-026;4,098e-002;4,941e-002;4,930e-002;4,935e-002;2,675e-002;3,868e-006;2,798e-026;2,798e-026;3,938e-002;4,938e-002;4,936e-002;4,931e-002;2,666e-002;6,509e-005;2,798e-026;2,798e-026;2,902e-002;5,001e-002;2,440e-002;4,257e-007;2,798e-026;2,798e-026;5,021e-002;5,037e-002;4,772e-003;5,042e-002;2,798e-026;2,798e-026;1,510e-002;1,018e-002;1,144e-002;4,065e-003;7,457e-003;4,008e-003;2,777e-003;3,018e-002;2,032e-002;1,494e-002;8,000e-003;5,518e-003;4,057e-003
452;1,003e-006;2,831e-026;2,831e-026;4,646e-002;5,606e-002;5,596e-002;5,600e-002;3,028e-002;1,268e-005;2,831e-026;2,831e-026;4,462e-002;5,602e-002;5,600e-002;5,596e-002;3,018e-002;6,995e-005;2,831e-026;2,831e-026;3,289e-002;5,669e-002;2,758e-002;1,984e-007;2,831e-026;2,831e-026;5,686e-002;5,706e-002;4,727e-003;5,707e-002;2,831e-026;2,831e-026;1,682e-002;1,118e-002;1,257e-002;4,265e-003;8,096e-003;4,189e-003;2,798e-003;3,363e-002;2,236e-002;1,621e-002;8,371e-003;5,581e-003;4,462e-003
454;8,000e-006;2,868e-026;2,868e-026;4,943e-002;5,979e-002;5,972e-002;5,976e-002;3,209e-002;1,279e-005;2,868e-026;2,868e-026;4,746e-002;5,973e-002;5,976e-002;5,967e-002;3,200e-002;9,439e-005;2,868e-026;2,868e-026;3,489e-002;6,035e-002;2,914e-002;3,055e-006;2,868e-026;2,868e-026;6,050e-002;6,073e-002;4,560e-003;6,068e-002;2,868e-026;2,868e-026;1,760e-002;1,163e-002;1,304e-002;4,275e-003;8,334e-003;4,207e-003;2,739e-003;3,525e-002;2,321e-002;1,667e-002;8,382e-003;5,466e-003;4,608e-003
456;1,109e-005;2,899e-026;2,899e-026;4,860e-002;5,904e-002;5,896e-002;5,903e-002;3,141e-002;1,454e-005;2,899e-026;2,899e-026;4,661e-002;5,894e-002;5,900e-002;5,893e-002;3,130e-002;9,649e-005;2,899e-026;2,899e-026;3,415e-002;5,944e-002;2,840e-002;9,034e-008;9,221e-007;2,899e-026;5,951e-002;5,972e-002;4,252e-003;5,961e-002;2,899e-026;2,899e-026;1,706e-002;1,120e-002;1,257e-002;4,059e-003;7,998e-003;3,988e-003;2,577e-003;3,421e-002;2,237e-002;1,599e-002;7,939e-003;5,131e-003;4,406e-003
458;8,566e-007;2,928e-026;2,928e-026;4,454e-002;5,429e-002;5,421e-002;5,428e-002;2,868e-002;2,977e-005;2,928e-026;2,928e-026;4,267e-002;5,416e-002;5,421e-002;5,419e-002;2,856e-002;9,539e-005;2,928e-026;2,928e-026;3,114e-002;5,450e-002;2,583e-002;2,928e-026;2,928e-026;2,928e-026;5,451e-002;5,472e-002;3,887e-003;5,452e-002;1,654e-007;2,928e-026;1,549e-002;1,017e-002;1,140e-002;3,704e-003;7,274e-003;3,636e-003;2,347e-003;3,113e-002;2,030e-002;1,450e-002;7,218e-003;4,691e-003;3,972e-003
460;7,992e-006;2,956e-026;2,956e-026;3,873e-002;4,732e-002;4,728e-002;4,736e-002;2,490e-002;1,865e-005;2,956e-026;2,956e-026;3,712e-002;4,722e-002;4,725e-002;4,726e-002;2,481e-002;8,526e-005;2,956e-026;2,956e-026;2,705e-002;4,742e-002;2,236e-002;2,956e-026;2,956e-026;2,956e-026;4,740e-002;4,755e-002;3,534e-003;4,733e-002;4,729e-007;2,956e-026;1,346e-002;8,871e-003;9,931e-003;3,286e-003;6,369e-003;3,224e-003;2,114e-003;2,706e-002;1,766e-002;1,266e-002;6,394e-003;4,212e-003;3,435e-003
462;1,715e-005;2,973e-026;2,973e-026;3,253e-002;3,975e-002;3,969e-002;3,981e-002;2,091e-002;2,306e-005;2,973e-026;2,973e-026;3,115e-002;3,963e-002;3,969e-002;3,971e-002;2,082e-002;7,523e-005;2,973e-026;2,973e-026;2,271e-002;3,977e-002;1,874e-002;7,536e-006;1,343e-005;2,973e-026;3,972e-002;3,986e-002;3,173e-003;3,964e-002;3,224e-006;2,973e-026;1,135e-002;7,524e-003;8,408e-003;2,855e-003;5,430e-003;2,809e-003;1,868e-003;2,281e-002;1,496e-002;1,079e-002;5,549e-003;3,727e-003;2,891e-003
464;3,520e-005;2,989e-026;2,989e-026;2,704e-002;3,301e-002;3,296e-002;3,307e-002;1,740e-002;2,964e-005;2,989e-026;2,989e-026;2,590e-002;3,290e-002;3,296e-002;3,299e-002;1,731e-002;7,252e-005;2,812e-006;2,989e-026;1,889e-002;3,301e-002;1,559e-002;1,570e-005;2,799e-005;2,989e-026;3,295e-002;3,305e-002;2,861e-003;3,286e-002;8,543e-006;2,989e-026;9,506e-003;6,347e-003;7,104e-003;2,484e-003;4,616e-003;2,442e-003;1,652e-003;1,911e-002;1,261e-002;9,180e-003;4,813e-003;3,319e-003;2,425e-003
466;3,920e-005;3,336e-006;3,000e-026;2,259e-002;2,754e-002;2,749e-002;2,761e-002;1,456e-002;3,978e-005;3,000e-026;3,000e-026;2,161e-002;2,746e-002;2,753e-002;2,754e-002;1,449e-002;8,830e-005;1,349e-005;8,684e-007;1,579e-002;2,755e-002;1,304e-002;4,013e-005;5,246e-005;3,000e-026;2,748e-002;2,757e-002;2,587e-003;2,741e-002;1,417e-005;3,000e-026;8,032e-003;5,394e-003;6,038e-003;2,191e-003;3,955e-003;2,136e-003;1,470e-003;1,614e-002;1,071e-002;7,864e-003;4,228e-003;2,962e-003;2,059e-003
468;7,847e-005;1,492e-005;3,000e-026;1,901e-002;2,317e-002;2,312e-002;2,326e-002;1,227e-002;4,292e-005;9,156e-006;3,000e-026;1,820e-002;2,312e-002;2,315e-002;2,318e-002;1,222e-002;9,119e-005;4,004e-005;1,562e-007;1,331e-002;2,323e-002;1,101e-002;6,437e-005;6,369e-005;3,000e-026;2,312e-002;2,321e-002;2,348e-003;2,306e-002;3,655e-005;3,000e-026;6,845e-003;4,635e-003;5,180e-003;1,939e-003;3,427e-003;1,888e-003;1,323e-003;1,375e-002;9,205e-003;6,818e-003;3,736e-003;2,662e-003;1,766e-003
470;8,877e-005;4,741e-005;2,992e-026;1,577e-002;1,921e-002;1,919e-002;1,931e-002;1,021e-002;8,605e-005;4,184e-005;2,992e-026;1,508e-002;1,915e-002;1,917e-002;1,924e-002;1,017e-002;1,044e-004;6,513e-005;5,232e-007;1,105e-002;1,927e-002;9,171e-003;7,370e-005;7,029e-005;2,992e-026;1,916e-002;1,924e-002;2,124e-003;1,912e-002;6,239e-005;2,992e-026;5,773e-003;3,935e-003;4,383e-003;1,716e-003;2,943e-003;1,656e-003;1,185e-003;1,157e-002;7,808e-003;5,850e-003;3,273e-003;2,380e-003;1,492e-003
472;1,249e-004;6,366e-005;1,145e-006;1,320e-002;1,610e-002;1,608e-002;1,625e-002;8,589e-003;1,087e-004;6,377e-005;2,986e-026;1,263e-002;1,607e-002;1,608e-002;1,616e-002;8,561e-003;1,272e-004;8,557e-005;4,157e-006;9,241e-003;1,619e-002;7,715e-003;1,183e-004;1,028e-004;2,986e-026;1,604e-002;1,609e-002;1,960e-003;1,600e-002;8,608e-005;2,986e-026;4,912e-003;3,390e-003;3,771e-003;1,541e-003;2,567e-003;1,492e-003;1,083e-003;9,872e-003;6,727e-003;5,100e-003;2,934e-003;2,189e-003;1,291e-003
474;1,623e-004;1,055e-004;1,140e-005;1,091e-002;1,332e-002;1,330e-002;1,349e-002;7,160e-003;1,524e-004;1,145e-004;2,988e-026;1,044e-002;1,330e-002;1,331e-002;1,341e-002;7,147e-003;1,631e-004;1,439e-004;8,772e-006;7,648e-003;1,344e-002;6,432e-003;1,766e-004;1,400e-004;7,296e-006;1,326e-002;1,331e-002;1,839e-003;1,320e-002;1,323e-004;2,988e-026;4,169e-003;2,914e-003;3,227e-003;1,410e-003;2,248e-003;1,352e-003;1,004e-003;8,371e-003;5,790e-003;4,453e-003;2,641e-003;2,025e-003;1,101e-003
476;2,105e-004;1,636e-004;3,625e-005;8,863e-003;1,081e-002;1,080e-002;1,103e-002;5,885e-003;1,974e-004;1,664e-004;1,157e-005;8,476e-003;1,079e-002;1,080e-002;1,094e-002;5,888e-003;2,016e-004;2,027e-004;3,613e-005;6,217e-003;1,096e-002;5,283e-003;2,193e-004;1,809e-004;9,120e-006;1,074e-002;1,080e-002;1,735e-003;1,069e-002;1,790e-004;2,983e-026;3,500e-003;2,494e-003;2,750e-003;1,302e-003;1,958e-003;1,226e-003;9,388e-004;7,040e-003;4,958e-003;3,887e-003;2,414e-003;1,893e-003;9,339e-004
478;2,842e-004;2,353e-004;8,413e-005;7,135e-003;8,708e-003;8,700e-003;8,989e-003;4,854e-003;2,705e-004;2,478e-004;3,984e-005;6,812e-003;8,691e-003;8,688e-003;8,890e-003;4,843e-003;2,607e-004;2,744e-004;7,236e-005;5,014e-003;8,928e-003;4,336e-003;2,756e-004;2,526e-004;2,192e-005;8,637e-003;8,677e-003;1,667e-003;8,583e-003;2,454e-004;2,987e-026;2,971e-003;2,168e-003;2,377e-003;1,215e-003;1,746e-003;1,137e-003;8,924e-004;5,977e-003;4,315e-003;3,455e-003;2,243e-003;1,812e-003;8,088e-004
480;3,399e-004;3,310e-004;1,125e-004;5,722e-003;7,004e-003;6,995e-003;7,351e-003;4,026e-003;3,593e-004;3,193e-004;7,267e-005;5,465e-003;7,002e-003;6,978e-003;7,269e-003;4,010e-003;3,395e-004;3,367e-004;1,076e-004;4,020e-003;7,294e-003;3,611e-003;3,545e-004;3,189e-004;5,719e-005;6,919e-003;6,950e-003;1,636e-003;6,888e-003;3,305e-004;2,991e-026;2,562e-003;1,934e-003;2,084e-003;1,183e-003;1,585e-003;1,081e-003;8,769e-004;5,165e-003;3,842e-003;3,154e-003;2,153e-003;1,780e-003;7,110e-004
482;4,464e-004;4,253e-004;1,480e-004;4,609e-003;5,599e-003;5,627e-003;6,051e-003;3,396e-003;4,550e-004;4,419e-004;1,337e-004;4,372e-003;5,605e-003;5,605e-003;5,977e-003;3,417e-003;4,545e-004;4,441e-004;1,454e-004;3,215e-003;6,026e-003;3,067e-003;4,696e-004;4,382e-004;9,016e-005;5,560e-003;5,568e-003;1,651e-003;5,521e-003;4,479e-004;2,991e-026;2,271e-003;1,778e-003;1,878e-003;1,194e-003;1,490e-003;1,072e-003;8,817e-004;4,568e-003;3,516e-003;2,978e-003;2,124e-003;1,801e-003;6,508e-004
484;6,066e-004;5,749e-004;2,243e-004;3,697e-003;4,494e-003;4,545e-003;5,104e-003;2,966e-003;6,201e-004;5,824e-004;2,085e-004;3,506e-003;4,484e-003;4,503e-003;4,984e-003;2,983e-003;5,971e-004;5,960e-004;2,315e-004;2,601e-003;5,071e-003;2,705e-003;6,113e-004;5,665e-004;1,354e-004;4,459e-003;4,470e-003;1,694e-003;4,439e-003;5,848e-004;2,982e-026;2,075e-003;1,685e-003;1,743e-003;1,252e-003;1,471e-003;1,087e-003;9,143e-004;4,189e-003;3,349e-003;2,908e-003;2,171e-003;1,868e-003;6,081e-004
486;7,666e-004;7,300e-004;3,111e-004;3,070e-003;3,724e-003;3,772e-003;4,481e-003;2,711e-003;7,772e-004;7,431e-004;2,923e-004;2,904e-003;3,692e-003;3,730e-003;4,339e-003;2,742e-003;7,629e-004;7,630e-004;3,146e-004;2,145e-003;4,451e-003;2,505e-003;7,636e-004;7,275e-004;1,783e-004;3,677e-003;3,687e-003;1,776e-003;3,668e-003;7,564e-004;2,974e-026;2,001e-003;1,684e-003;1,704e-003;1,353e-003;1,498e-003;1,138e-003;9,765e-004;4,027e-003;3,337e-003;2,975e-003;2,280e-003;1,992e-003;5,979e-004
488;9,683e-004;9,509e-004;4,332e-004;2,536e-003;3,071e-003;3,153e-003;4,048e-003;2,593e-003;9,852e-004;9,572e-004;3,897e-004;2,397e-003;3,077e-003;3,119e-003;3,865e-003;2,624e-003;9,791e-004;9,658e-004;4,240e-004;1,772e-003;4,029e-003;2,415e-003;9,946e-004;9,412e-004;2,582e-004;3,036e-003;3,043e-003;1,900e-003;3,036e-003;9,702e-004;2,964e-026;1,995e-003;1,740e-003;1,708e-003;1,500e-003;1,572e-003;1,236e-003;1,073e-003;3,996e-003;3,447e-003;3,128e-003;2,455e-003;2,165e-003;6,238e-004
490;1,249e-003;1,222e-003;5,513e-004;2,083e-003;2,525e-003;2,641e-003;3,761e-003;2,577e-003;1,268e-003;1,215e-003;5,198e-004;1,969e-003;2,541e-003;2,595e-003;3,540e-003;2,607e-003;1,242e-003;1,225e-003;5,671e-004;1,461e-003;3,752e-003;2,429e-003;1,258e-003;1,199e-003;3,189e-004;2,474e-003;2,501e-003;2,062e-003;2,490e-003;1,242e-003;2,947e-026;2,048e-003;1,842e-003;1,769e-003;1,696e-003;1,697e-003;1,358e-003;1,196e-003;4,101e-003;3,642e-003;3,358e-003;2,680e-003;2,391e-003;6,533e-004
492;1,594e-003;1,544e-003;7,035e-004;1,708e-003;2,060e-003;2,206e-003;3,609e-003;2,664e-003;1,588e-003;1,532e-003;6,897e-004;1,603e-003;2,063e-003;2,123e-003;3,339e-003;2,696e-003;1,564e-003;1,556e-003;7,412e-004;1,189e-003;3,608e-003;2,554e-003;1,603e-003;1,510e-003;4,190e-004;2,012e-003;2,028e-003;2,254e-003;2,028e-003;1,580e-003;2,924e-026;2,164e-003;2,007e-003;1,861e-003;1,937e-003;1,853e-003;1,493e-003;1,334e-003;4,330e-003;3,945e-003;3,682e-003;2,990e-003;2,662e-003;6,940e-004
494;1,971e-003;1,931e-003;9,127e-004;1,386e-003;1,671e-003;1,861e-003;3,606e-003;2,857e-003;1,990e-003;1,944e-003;8,770e-004;1,293e-003;1,669e-003;1,737e-003;3,258e-003;2,898e-003;1,961e-003;1,941e-003;9,682e-004;9,457e-004;3,610e-003;2,758e-003;1,990e-003;1,918e-003;5,354e-004;1,639e-003;1,635e-003;2,447e-003;1,633e-003;1,991e-003;2,899e-026;2,349e-003;2,215e-003;2,003e-003;2,231e-003;2,072e-003;1,667e-003;1,501e-003;4,689e-003;4,365e-003;4,096e-003;3,350e-003;2,965e-003;7,751e-004
496;2,527e-003;2,483e-003;1,183e-003;1,086e-003;1,332e-003;1,529e-003;3,781e-003;3,213e-003;2,530e-003;2,469e-003;1,166e-003;1,012e-003;1,331e-003;1,389e-003;3,371e-003;3,252e-003;2,511e-003;2,473e-003;1,254e-003;7,523e-004;3,804e-003;3,164e-003;2,529e-003;2,456e-003;6,962e-004;1,293e-003;1,291e-003;2,688e-003;1,281e-003;2,550e-003;2,863e-026;2,630e-003;2,513e-003;2,203e-003;2,604e-003;2,359e-003;1,897e-003;1,686e-003;5,235e-003;4,955e-003;4,676e-003;3,799e-003;3,367e-003;8,838e-004
498;3,124e-003;3,060e-003;1,463e-003;8,783e-004;1,050e-003;1,335e-003;4,122e-003;3,677e-003;3,123e-003;3,060e-003;1,467e-003;8,125e-004;1,073e-003;1,174e-003;3,588e-003;3,693e-003;3,100e-003;3,053e-003;1,572e-003;5,979e-004;4,128e-003;3,643e-003;3,140e-003;3,054e-003;8,764e-004;1,028e-003;1,037e-003;2,923e-003;1,037e-003;3,150e-003;2,826e-026;2,954e-003;2,858e-003;2,424e-003;3,031e-003;2,672e-003;2,141e-003;1,901e-003;5,882e-003;5,610e-003;5,293e-003;4,272e-003;3,776e-003;9,996e-004
500;3,811e-003;3,728e-003;1,812e-003;7,100e-004;8,598e-004;1,194e-003;4,584e-003;4,253e-003;3,797e-003;3,720e-003;1,799e-003;6,818e-004;8,880e-004;1,010e-003;3,945e-003;4,271e-003;3,793e-003;3,714e-003;1,925e-003;4,895e-004;4,611e-003;4,265e-003;3,834e-003;3,739e-003;1,083e-003;8,372e-004;8,340e-004;3,183e-003;8,342e-004;3,850e-003;2,791e-026;3,345e-003;3,236e-003;2,694e-003;3,493e-003;3,029e-003;2,411e-003;2,138e-003;6,648e-003;6,378e-003;6,002e-003;4,803e-003;4,226e-003;1,129e-003
502;4,569e-003;4,486e-003;2,195e-003;5,728e-004;6,970e-004;1,093e-003;5,178e-003;4,934e-003;4,564e-003;4,474e-003;2,167e-003;5,455e-004;7,125e-004;8,783e-004;4,394e-003;4,948e-003;4,557e-003;4,472e-003;2,338e-003;3,942e-004;5,219e-003;4,966e-003;4,612e-003;4,502e-003;1,304e-003;6,880e-004;6,795e-004;3,433e-003;6,796e-004;4,637e-003;2,754e-026;3,793e-003;3,660e-003;2,978e-003;3,985e-003;3,422e-003;2,689e-003;2,372e-003;7,525e-003;7,225e-003;6,770e-003;5,370e-003;4,688e-003;1,282e-003
504;5,377e-003;5,291e-003;2,604e-003;4,818e-004;5,633e-004;1,017e-003;5,863e-003;5,691e-003;5,403e-003;5,305e-003;2,573e-003;4,368e-004;5,842e-004;7,614e-004;4,947e-003;5,716e-003;5,383e-003;5,284e-003;2,777e-003;3,034e-004;5,915e-003;5,744e-003;5,449e-003;5,347e-003;1,558e-003;5,719e-004;5,571e-004;3,676e-003;5,535e-004;5,473e-003;2,712e-026;4,278e-003;4,117e-003;3,288e-003;4,523e-003;3,833e-003;2,985e-003;2,616e-003;8,473e-003;8,133e-003;7,591e-003;5,961e-003;5,173e-003;1,448e-003
506;6,273e-003;6,177e-003;3,033e-003;3,836e-004;4,641e-004;9,953e-004;6,620e-003;6,525e-003;6,277e-003;6,171e-003;3,016e-003;3,688e-004;4,813e-004;6,813e-004;5,529e-003;6,571e-003;6,270e-003;6,153e-003;3,238e-003;2,487e-004;6,694e-003;6,591e-003;6,344e-003;6,228e-003;1,812e-003;4,569e-004;4,592e-004;3,911e-003;4,604e-004;6,365e-003;2,672e-026;4,782e-003;4,604e-003;3,603e-003;5,085e-003;4,259e-003;3,293e-003;2,867e-003;9,471e-003;9,089e-003;8,456e-003;6,570e-003;5,662e-003;1,620e-003
508;7,226e-003;7,096e-003;3,509e-003;3,243e-004;3,606e-004;9,816e-004;7,457e-003;7,438e-003;7,221e-003;7,096e-003;3,468e-003;3,062e-004;3,751e-004;6,126e-004;6,197e-003;7,466e-003;7,211e-003;7,084e-003;3,744e-003;1,950e-004;7,529e-003;7,508e-003;7,294e-003;7,175e-003;2,110e-003;3,711e-004;3,833e-004;4,158e-003;3,607e-004;7,326e-003;2,622e-026;5,322e-003;5,114e-003;3,932e-003;5,664e-003;4,705e-003;3,611e-003;3,108e-003;1,055e-002;1,008e-002;9,348e-003;7,194e-003;6,175e-003;1,795e-003
510;8,165e-003;8,003e-003;3,957e-003;2,637e-004;2,778e-004;9,553e-004;8,273e-003;8,317e-003;8,140e-003;8,005e-003;3,902e-003;2,375e-004;2,996e-004;5,801e-004;6,857e-003;8,345e-003;8,141e-003;7,981e-003;4,229e-003;1,458e-004;8,368e-003;8,389e-003;8,214e-003;8,075e-003;2,363e-003;2,877e-004;3,010e-004;4,382e-003;2,906e-004;8,258e-003;2,574e-026;5,847e-003;5,593e-003;4,243e-003;6,211e-003;5,143e-003;3,907e-003;3,353e-003;1,158e-002;1,105e-002;1,020e-002;7,788e-003;6,636e-003;1,970e-003
