;M44;M43;M42;M41;M40;M39;M38;M37;M36;M35;M34;M33;M32;M31;M30;M29;M28;M27;M26;M25;M24;M23;M22;M21;M20;M19;M18;M17;M16;M15;M14;M13;M12;M11;M10;M9;M8;M7;M6;M5;M4;M3;M2;M1
400;4,827e-026;4,827e-026;4,827e-026;4,827e-026;4,827e-026;4,827e-026;4,827e-026;4,827e-026;4,827e-026;4,827e-026;4,827e-026;4,827e-026;4,827e-026;4,827e-026;4,827e-026;4,827e-026;4,827e-026;4,827e-026;4,827e-026;4,827e-026;4,827e-026;4,827e-026;4,827e-026;4,827e-026;1,699e-006;4,827e-026;4,827e-026;4,827e-026;4,827e-026;4,827e-026;4,827e-026;4,827e-026;2,385e-006;4,827e-026;4,827e-026;1,043e-005;4,827e-026;4,827e-026;4,827e-026;4,827e-026;4,827e-026;4,827e-026;4,827e-026;4,827e-026
402;7,563e-006;4,657e-026;4,657e-026;4,657e-026;4,657e-026;4,657e-026;4,657e-026;4,657e-026;4,657e-026;4,657e-026;4,657e-026;4,657e-026;4,657e-026;4,657e-026;4,657e-026;4,657e-026;4,657e-026;4,657e-026;4,657e-026;4,657e-026;4,657e-026;4,657e-026;4,657e-026;4,657e-026;4,410e-006;4,657e-026;4,657e-026;4,657e-026;4,657e-026;4,657e-026;4,657e-026;1,193e-006;1,573e-005;4,657e-026;4,657e-026;1,536e-005;6,321e-007;4,657e-026;4,657e-026;3,107e-006;5,914e-006;6,674e-006;4,657e-026;1,374e-006
404;1,480e-005;4,489e-026;4,489e-026;4,489e-026;4,489e-026;4,489e-026;4,489e-026;4,489e-026;6,819e-007;4,489e-026;4,489e-026;4,489e-026;4,489e-026;4,489e-026;4,489e-026;1,218e-006;4,489e-026;4,489e-026;4,489e-026;4,489e-026;4,489e-026;4,489e-026;4,489e-026;4,489e-026;7,418e-007;4,489e-026;4,489e-026;4,489e-026;4,489e-026;4,489e-026;4,489e-026;3,035e-006;2,410e-005;1,939e-006;4,489e-026;1,874e-005;3,821e-006;5,663e-006;4,489e-026;7,901e-006;1,725e-005;1,476e-005;2,488e-006;1,770e-006
406;1,500e-005;4,288e-026;4,288e-026;4,288e-026;4,288e-026;1,320e-005;4,288e-026;4,288e-026;6,531e-006;4,288e-026;4,288e-026;4,288e-026;4,288e-026;4,288e-026;4,288e-026;7,569e-006;4,288e-026;4,288e-026;4,288e-026;4,288e-026;4,288e-026;1,475e-006;4,288e-026;4,288e-026;4,288e-026;4,288e-026;4,288e-026;1,782e-005;4,288e-026;4,288e-026;4,288e-026;2,899e-006;3,127e-005;6,362e-006;2,381e-006;3,179e-005;2,285e-006;8,363e-006;3,403e-006;1,536e-005;1,605e-005;2,495e-005;4,820e-006;4,288e-026
408;2,958e-005;4,124e-026;4,124e-026;4,124e-026;4,124e-026;1,195e-005;4,124e-026;4,124e-026;2,739e-005;4,124e-026;4,124e-026;4,124e-026;4,124e-026;4,124e-026;2,414e-005;2,243e-005;4,124e-026;1,353e-005;4,124e-026;4,124e-026;4,124e-026;8,293e-006;4,124e-026;4,124e-026;4,124e-026;4,124e-026;4,124e-026;2,523e-005;4,124e-026;4,124e-026;4,124e-026;2,364e-005;3,059e-005;2,561e-005;3,769e-006;4,190e-005;4,046e-006;9,404e-006;1,432e-005;3,751e-005;4,659e-005;5,294e-005;2,847e-005;4,124e-026
410;2,941e-005;3,949e-026;3,949e-026;3,949e-026;3,949e-026;3,463e-005;3,949e-026;3,949e-026;6,344e-006;3,949e-026;3,949e-026;3,949e-026;2,667e-005;3,949e-026;3,531e-005;3,579e-005;3,949e-026;2,911e-006;3,949e-026;3,949e-026;3,949e-026;1,344e-005;3,949e-026;3,949e-026;3,949e-026;3,949e-026;3,949e-026;5,615e-005;3,949e-026;3,949e-026;3,949e-026;4,024e-005;3,703e-005;4,103e-005;3,610e-006;4,674e-005;1,529e-005;1,672e-005;4,347e-005;7,558e-005;6,991e-005;7,160e-005;5,258e-005;2,574e-006
412;2,970e-005;3,764e-026;3,764e-026;1,910e-005;3,911e-006;6,665e-005;2,041e-005;8,479e-006;3,948e-007;3,764e-026;3,764e-026;3,405e-005;6,705e-005;1,455e-005;9,916e-005;6,980e-005;3,764e-026;1,412e-007;3,764e-026;1,010e-005;2,510e-005;3,371e-005;3,764e-026;3,764e-026;3,764e-026;9,404e-006;2,011e-005;8,682e-005;8,973e-006;3,764e-026;3,764e-026;6,405e-005;7,019e-005;6,376e-005;3,703e-005;6,860e-005;3,101e-005;4,742e-005;8,303e-005;1,100e-004;1,227e-004;9,331e-005;7,885e-005;3,449e-006
414;1,322e-005;3,617e-026;3,617e-026;7,630e-005;6,641e-005;1,271e-004;6,555e-005;5,686e-005;4,060e-006;3,617e-026;3,617e-026;8,735e-005;1,353e-004;7,506e-005;1,661e-004;9,082e-005;3,617e-026;1,597e-006;3,617e-026;3,233e-005;6,022e-005;7,160e-005;8,422e-007;3,617e-026;3,617e-026;7,390e-005;8,940e-005;1,243e-004;7,616e-005;3,617e-026;3,617e-026;9,959e-005;8,378e-005;8,921e-005;5,865e-005;9,116e-005;4,057e-005;7,183e-005;1,513e-004;1,642e-004;1,768e-004;1,572e-004;1,381e-004;1,341e-005
416;1,636e-005;5,352e-007;3,496e-026;1,376e-004;1,535e-004;2,226e-004;1,620e-004;1,061e-004;1,077e-006;3,496e-026;3,496e-026;1,707e-004;2,095e-004;1,591e-004;2,642e-004;1,154e-004;3,496e-026;3,496e-026;3,496e-026;8,307e-005;1,668e-004;1,161e-004;3,058e-006;3,496e-026;3,496e-026;1,693e-004;1,662e-004;1,912e-004;1,755e-004;3,496e-026;3,496e-026;1,385e-004;1,199e-004;1,427e-004;8,614e-005;1,300e-004;7,826e-005;9,676e-005;2,310e-004;2,511e-004;2,504e-004;2,040e-004;1,785e-004;3,566e-005
418;1,819e-005;9,920e-007;3,379e-026;2,355e-004;2,942e-004;3,387e-004;2,948e-004;1,757e-004;6,038e-007;3,379e-026;3,379e-026;2,604e-004;3,262e-004;2,921e-004;3,738e-004;1,823e-004;3,379e-026;3,379e-026;3,379e-026;1,573e-004;2,929e-004;1,731e-004;3,379e-026;3,379e-026;3,379e-026;3,080e-004;2,853e-004;2,622e-004;2,989e-004;3,379e-026;3,379e-026;1,900e-004;1,839e-004;1,926e-004;1,229e-004;1,748e-004;1,176e-004;1,341e-004;3,470e-004;3,465e-004;3,482e-004;2,929e-004;2,514e-004;5,757e-005
420;2,011e-005;3,279e-026;3,279e-026;3,837e-004;4,748e-004;5,089e-004;4,733e-004;2,744e-004;5,428e-007;3,279e-026;3,279e-026;4,097e-004;5,130e-004;4,879e-004;5,477e-004;2,766e-004;1,280e-005;3,279e-026;3,279e-026;2,574e-004;4,805e-004;2,505e-004;3,279e-026;3,279e-026;3,279e-026;4,792e-004;4,731e-004;3,641e-004;4,740e-004;3,279e-026;3,279e-026;2,679e-004;2,426e-004;2,704e-004;1,810e-004;2,390e-004;1,724e-004;1,854e-004;5,130e-004;4,846e-004;4,802e-004;3,936e-004;3,509e-004;7,743e-005
