;S Clear;S 181 Congo R;S 071 Tokyo R;S 120 Deep Blue R;S 119 Dark Blue R;S 115 Peacock R;S 090 Dark Y G R;S 139 P Green R;S 101 Yellow R;S 158 Deep Orange R;S 022 Dark Amber R;S 019 Fire R;S 106 P Red R;S 126 Mauve R;S 170 Deep Lav R;S 137 Special Lav R;S 117 Steel Blue R;S 088 Lime Green R;S 156 Chocolate R;S 652 Urban Sodium R;S 111 Dark Pink R;S 200 Double CTB R;S 204 Full CTO R
528;4,291e-003;5,935e-007;1,118e-027;1,625e-005;1,443e-004;3,024e-003;1,265e-003;1,538e-003;3,442e-003;8,726e-005;7,436e-005;8,778e-005;1,118e-027;3,904e-007;1,030e-003;1,410e-003;3,338e-003;3,902e-003;1,125e-003;3,761e-004;6,501e-004;9,387e-004;2,137e-003
530;4,223e-003;1,111e-007;1,108e-027;1,124e-005;1,182e-004;2,909e-003;1,213e-003;1,507e-003;3,443e-003;1,094e-004;9,088e-005;8,915e-005;1,108e-027;5,828e-008;9,846e-004;1,327e-003;3,221e-003;3,821e-003;1,137e-003;3,770e-004;6,364e-004;8,772e-004;2,112e-003
532;4,104e-003;1,098e-027;1,098e-027;7,439e-006;9,479e-005;2,757e-003;1,141e-003;1,443e-003;3,400e-003;1,374e-004;1,126e-004;8,936e-005;1,098e-027;1,098e-027;9,279e-004;1,229e-003;3,064e-003;3,695e-003;1,130e-003;3,753e-004;6,158e-004;8,068e-004;2,064e-003
534;3,957e-003;1,091e-027;1,091e-027;4,588e-006;7,539e-005;2,589e-003;1,059e-003;1,360e-003;3,328e-003;1,722e-004;1,391e-004;8,782e-005;1,091e-027;1,091e-027;8,699e-004;1,131e-003;2,898e-003;3,552e-003;1,108e-003;3,737e-004;5,904e-004;7,342e-004;2,006e-003
536;3,803e-003;1,087e-027;1,087e-027;3,055e-006;6,147e-005;2,425e-003;9,782e-004;1,268e-003;3,241e-003;2,108e-004;1,657e-004;8,528e-005;1,087e-027;1,087e-027;8,150e-004;1,041e-003;2,741e-003;3,411e-003;1,076e-003;3,712e-004;5,630e-004;6,659e-004;1,948e-003
538;3,648e-003;1,084e-027;1,084e-027;1,862e-006;5,013e-005;2,261e-003;8,977e-004;1,172e-003;3,147e-003;2,535e-004;1,937e-004;8,144e-005;1,084e-027;1,084e-027;7,612e-004;9,560e-004;2,596e-003;3,277e-003;1,035e-003;3,688e-004;5,331e-004;6,014e-004;1,892e-003
540;3,498e-003;1,083e-027;1,083e-027;3,845e-007;4,052e-005;2,100e-003;8,182e-004;1,075e-003;3,051e-003;3,006e-004;2,219e-004;7,674e-005;1,083e-027;1,083e-027;7,105e-004;8,777e-004;2,463e-003;3,149e-003;9,880e-004;3,671e-004;5,009e-004;5,398e-004;1,841e-003
542;3,358e-003;1,081e-027;1,081e-027;1,081e-027;3,421e-005;1,944e-003;7,411e-004;9,794e-004;2,957e-003;3,503e-004;2,476e-004;7,168e-005;1,081e-027;1,081e-027;6,627e-004;8,059e-004;2,342e-003;3,031e-003;9,352e-004;3,644e-004;4,696e-004;4,824e-004;1,796e-003
544;3,219e-003;1,080e-027;1,080e-027;1,080e-027;2,766e-005;1,782e-003;6,636e-004;8,798e-004;2,860e-003;4,069e-004;2,704e-004;6,587e-005;1,080e-027;1,080e-027;6,143e-004;7,362e-004;2,229e-003;2,914e-003;8,720e-004;3,600e-004;4,356e-004;4,241e-004;1,755e-003
546;3,106e-003;1,081e-027;1,081e-027;1,081e-027;2,341e-005;1,635e-003;5,931e-004;7,918e-004;2,781e-003;4,610e-004;2,858e-004;5,937e-005;5,780e-008;1,081e-027;5,730e-004;6,766e-004;2,136e-003;2,815e-003;8,117e-004;3,554e-004;4,039e-004;3,735e-004;1,724e-003
548;3,014e-003;1,083e-027;1,083e-027;1,083e-027;1,917e-005;1,503e-003;5,322e-004;7,124e-004;2,716e-003;5,135e-004;2,938e-004;5,371e-005;3,216e-007;1,083e-027;5,367e-004;6,263e-004;2,058e-003;2,726e-003;7,537e-004;3,502e-004;3,769e-004;3,291e-004;1,704e-003
550;2,936e-003;1,087e-027;1,087e-027;1,087e-027;1,571e-005;1,379e-003;4,752e-004;6,371e-004;2,661e-003;5,658e-004;2,955e-004;4,808e-005;2,075e-007;1,087e-027;5,037e-004;5,814e-004;1,987e-003;2,643e-003;6,970e-004;3,446e-004;3,527e-004;2,898e-004;1,690e-003
552;2,866e-003;1,091e-027;1,091e-027;1,091e-027;1,268e-005;1,262e-003;4,210e-004;5,650e-004;2,613e-003;6,162e-004;2,918e-004;4,281e-005;1,091e-027;1,091e-027;4,736e-004;5,419e-004;1,921e-003;2,561e-003;6,441e-004;3,397e-004;3,320e-004;2,557e-004;1,678e-003
554;2,808e-003;1,095e-027;1,095e-027;1,095e-027;9,782e-006;1,153e-003;3,711e-004;4,968e-004;2,573e-003;6,671e-004;2,836e-004;3,858e-005;1,095e-027;1,095e-027;4,473e-004;5,067e-004;1,858e-003;2,482e-003;5,963e-004;3,360e-004;3,165e-004;2,258e-004;1,671e-003
556;2,751e-003;1,100e-027;1,100e-027;1,100e-027;6,639e-006;1,039e-003;3,190e-004;4,242e-004;2,534e-003;7,222e-004;2,722e-004;3,378e-005;1,100e-027;1,100e-027;4,210e-004;4,735e-004;1,785e-003;2,394e-003;5,495e-004;3,349e-004;3,053e-004;1,983e-004;1,665e-003
558;2,717e-003;1,107e-027;1,107e-027;1,107e-027;4,388e-006;9,475e-004;2,783e-004;3,664e-004;2,512e-003;7,732e-004;2,629e-004;3,066e-005;1,107e-027;1,107e-027;4,031e-004;4,493e-004;1,726e-003;2,326e-003;5,162e-004;3,382e-004;3,020e-004;1,793e-004;1,665e-003
560;2,694e-003;1,116e-027;1,116e-027;1,116e-027;2,698e-006;8,644e-004;2,411e-004;3,136e-004;2,499e-003;8,251e-004;2,563e-004;2,854e-005;1,091e-007;1,116e-027;3,876e-004;4,302e-004;1,670e-003;2,265e-003;4,922e-004;3,459e-004;3,057e-004;1,654e-004;1,671e-003
562;2,680e-003;1,125e-027;1,125e-027;1,125e-027;1,305e-006;7,876e-004;2,077e-004;2,661e-004;2,494e-003;8,790e-004;2,535e-004;2,769e-005;1,101e-007;1,125e-027;3,767e-004;4,161e-004;1,615e-003;2,212e-003;4,755e-004;3,607e-004;3,162e-004;1,552e-004;1,678e-003
564;2,675e-003;1,136e-027;1,136e-027;1,136e-027;7,237e-007;7,172e-004;1,778e-004;2,240e-004;2,496e-003;9,353e-004;2,567e-004;2,769e-005;2,045e-008;1,136e-027;3,689e-004;4,059e-004;1,563e-003;2,169e-003;4,674e-004;3,824e-004;3,353e-004;1,488e-004;1,692e-003
566;2,677e-003;4,051e-009;1,148e-027;1,148e-027;4,702e-008;6,480e-004;1,500e-004;1,857e-004;2,502e-003;9,978e-004;2,666e-004;2,997e-005;1,705e-008;1,148e-027;3,650e-004;4,005e-004;1,511e-003;2,132e-003;4,672e-004;4,149e-004;3,668e-004;1,461e-004;1,709e-003
568;2,686e-003;5,320e-008;1,160e-027;1,160e-027;1,160e-027;5,824e-004;1,256e-004;1,518e-004;2,514e-003;1,065e-003;2,869e-004;3,330e-005;3,525e-007;1,160e-027;3,661e-004;3,991e-004;1,461e-003;2,103e-003;4,778e-004;4,602e-004;4,102e-004;1,469e-004;1,732e-003
570;2,705e-003;1,174e-027;1,174e-027;1,174e-027;1,174e-027;5,266e-004;1,062e-004;1,260e-004;2,534e-003;1,131e-003;3,172e-004;4,003e-005;8,555e-007;1,174e-027;3,718e-004;4,024e-004;1,421e-003;2,088e-003;4,977e-004;5,137e-004;4,656e-004;1,505e-004;1,762e-003
572;2,728e-003;1,188e-027;1,188e-027;1,188e-027;1,188e-027;4,765e-004;8,952e-005;1,039e-004;2,557e-003;1,200e-003;3,599e-004;5,066e-005;8,414e-007;1,188e-027;3,816e-004;4,104e-004;1,386e-003;2,081e-003;5,252e-004;5,788e-004;5,334e-004;1,581e-004;1,797e-003
574;2,755e-003;1,203e-027;1,203e-027;1,203e-027;1,203e-027;4,310e-004;7,500e-005;8,542e-005;2,583e-003;1,270e-003;4,167e-004;6,666e-005;1,687e-006;1,203e-027;3,958e-004;4,221e-004;1,355e-003;2,080e-003;5,617e-004;6,536e-004;6,173e-004;1,669e-004;1,839e-003
576;2,787e-003;1,219e-027;1,219e-027;1,219e-027;1,219e-027;3,885e-004;6,386e-005;7,062e-005;2,613e-003;1,342e-003;4,896e-004;8,985e-005;3,032e-006;1,219e-027;4,138e-004;4,386e-004;1,331e-003;2,085e-003;6,056e-004;7,386e-004;7,166e-004;1,776e-004;1,887e-003
578;2,823e-003;1,270e-007;1,237e-027;1,237e-027;1,237e-027;3,449e-004;5,230e-005;5,632e-005;2,647e-003;1,424e-003;5,942e-004;1,309e-004;5,891e-006;1,237e-027;4,411e-004;4,609e-004;1,308e-003;2,092e-003;6,651e-004;8,426e-004;8,464e-004;1,926e-004;1,947e-003
580;2,861e-003;3,119e-007;1,255e-027;1,255e-027;1,255e-027;3,105e-004;4,407e-005;4,602e-005;2,683e-003;1,500e-003;7,075e-004;1,838e-004;9,631e-006;1,255e-027;4,703e-004;4,862e-004;1,296e-003;2,102e-003;7,241e-004;9,400e-004;9,795e-004;2,085e-004;2,010e-003
582;2,900e-003;1,273e-027;1,273e-027;1,273e-027;1,273e-027;2,805e-004;3,678e-005;3,786e-005;2,721e-003;1,577e-003;8,387e-004;2,563e-004;1,526e-005;2,388e-008;5,035e-004;5,150e-004;1,290e-003;2,111e-003;7,880e-004;1,036e-003;1,123e-003;2,251e-004;2,078e-003
584;2,941e-003;1,292e-027;1,292e-027;1,292e-027;1,292e-027;2,523e-004;3,082e-005;3,090e-005;2,761e-003;1,656e-003;9,868e-004;3,518e-004;2,569e-005;6,152e-007;5,412e-004;5,473e-004;1,287e-003;2,117e-003;8,539e-004;1,130e-003;1,274e-003;2,428e-004;2,149e-003
586;2,982e-003;1,312e-027;1,312e-027;1,312e-027;1,312e-027;2,273e-004;2,586e-005;2,484e-005;2,801e-003;1,738e-003;1,148e-003;4,721e-004;4,105e-005;2,303e-006;5,828e-004;5,843e-004;1,288e-003;2,119e-003;9,193e-004;1,218e-003;1,431e-003;2,606e-004;2,225e-003
588;3,022e-003;1,772e-007;1,330e-027;1,330e-027;1,330e-027;2,014e-004;2,032e-005;1,983e-005;2,841e-003;1,830e-003;1,332e-003;6,310e-004;6,529e-005;4,619e-006;6,297e-004;6,264e-004;1,287e-003;2,110e-003;9,847e-004;1,302e-003;1,600e-003;2,778e-004;2,308e-003
590;3,061e-003;1,350e-027;1,350e-027;1,350e-027;1,350e-027;1,778e-004;1,682e-005;1,518e-005;2,882e-003;1,923e-003;1,512e-003;8,101e-004;1,032e-004;8,850e-006;6,799e-004;6,692e-004;1,286e-003;2,095e-003;1,043e-003;1,371e-003;1,759e-003;2,930e-004;2,390e-003
592;3,099e-003;1,369e-027;1,369e-027;1,369e-027;1,369e-027;1,577e-004;1,411e-005;1,185e-005;2,921e-003;2,016e-003;1,682e-003;1,000e-003;1,496e-004;1,684e-005;7,279e-004;7,107e-004;1,284e-003;2,070e-003;1,092e-003;1,429e-003;1,905e-003;3,050e-004;2,470e-003
594;3,133e-003;1,387e-027;1,387e-027;1,387e-027;1,387e-027;1,388e-004;1,084e-005;8,949e-006;2,958e-003;2,109e-003;1,843e-003;1,201e-003;2,113e-004;2,833e-005;7,754e-004;7,499e-004;1,278e-003;2,039e-003;1,131e-003;1,477e-003;2,044e-003;3,129e-004;2,547e-003
596;3,168e-003;1,405e-027;1,405e-027;1,405e-027;1,405e-027;1,219e-004;7,201e-006;6,293e-006;2,993e-003;2,202e-003;1,997e-003;1,407e-003;2,890e-004;4,463e-005;8,215e-004;7,882e-004;1,267e-003;2,002e-003;1,160e-003;1,516e-003;2,173e-003;3,180e-004;2,620e-003
598;3,198e-003;1,422e-027;1,422e-027;1,422e-027;1,422e-027;1,056e-004;5,552e-006;4,560e-006;3,026e-003;2,295e-003;2,142e-003;1,624e-003;3,883e-004;6,813e-005;8,660e-004;8,229e-004;1,248e-003;1,955e-003;1,179e-003;1,547e-003;2,295e-003;3,176e-004;2,691e-003
600;3,227e-003;1,510e-007;1,438e-027;1,438e-027;1,438e-027;8,979e-005;4,348e-006;3,657e-006;3,055e-003;2,386e-003;2,272e-003;1,836e-003;5,053e-004;1,009e-004;9,085e-004;8,512e-004;1,224e-003;1,905e-003;1,188e-003;1,572e-003;2,408e-003;3,122e-004;2,755e-003
602;3,248e-003;4,042e-007;1,451e-027;1,451e-027;1,451e-027;7,857e-005;2,864e-006;1,951e-006;3,076e-003;2,460e-003;2,380e-003;2,022e-003;6,265e-004;1,361e-004;9,406e-004;8,693e-004;1,198e-003;1,858e-003;1,189e-003;1,588e-003;2,499e-003;3,050e-004;2,803e-003
604;3,269e-003;1,464e-027;1,464e-027;1,464e-027;1,464e-027;6,885e-005;1,326e-006;1,036e-006;3,096e-003;2,530e-003;2,476e-003;2,196e-003;7,563e-004;1,759e-004;9,682e-004;8,820e-004;1,171e-003;1,816e-003;1,185e-003;1,603e-003;2,582e-003;2,959e-004;2,846e-003
606;3,289e-003;2,746e-007;1,476e-027;1,476e-027;1,476e-027;6,093e-005;4,777e-007;1,821e-007;3,113e-003;2,591e-003;2,561e-003;2,353e-003;8,892e-004;2,182e-004;9,898e-004;8,893e-004;1,143e-003;1,779e-003;1,179e-003;1,616e-003;2,654e-003;2,861e-004;2,882e-003
608;3,303e-003;4,428e-008;1,486e-027;1,486e-027;1,486e-027;5,452e-005;3,150e-008;1,486e-027;3,122e-003;2,647e-003;2,635e-003;2,497e-003;1,030e-003;2,615e-004;1,006e-003;8,884e-004;1,113e-003;1,746e-003;1,168e-003;1,625e-003;2,719e-003;2,760e-004;2,908e-003
610;3,318e-003;1,498e-027;1,498e-027;1,498e-027;1,498e-027;4,811e-005;1,498e-027;1,498e-027;3,131e-003;2,698e-003;2,705e-003;2,624e-003;1,174e-003;3,051e-004;1,019e-003;8,823e-004;1,087e-003;1,720e-003;1,158e-003;1,634e-003;2,780e-003;2,644e-004;2,932e-003
612;3,336e-003;9,123e-008;1,512e-027;1,512e-027;1,512e-027;4,372e-005;1,512e-027;1,512e-027;3,142e-003;2,745e-003;2,761e-003;2,723e-003;1,302e-003;3,411e-004;1,027e-003;8,725e-004;1,065e-003;1,704e-003;1,151e-003;1,642e-003;2,828e-003;2,562e-004;2,954e-003
614;3,357e-003;3,257e-007;1,528e-027;1,528e-027;1,528e-027;4,027e-005;1,528e-027;1,528e-027;3,151e-003;2,788e-003;2,811e-003;2,803e-003;1,423e-003;3,729e-004;1,033e-003;8,617e-004;1,046e-003;1,695e-003;1,144e-003;1,651e-003;2,874e-003;2,483e-004;2,977e-003
616;3,382e-003;1,142e-007;1,547e-027;1,547e-027;1,547e-027;3,791e-005;1,547e-027;1,547e-027;3,163e-003;2,832e-003;2,855e-003;2,867e-003;1,539e-003;4,005e-004;1,036e-003;8,509e-004;1,030e-003;1,691e-003;1,141e-003;1,661e-003;2,919e-003;2,410e-004;3,003e-003
618;3,415e-003;1,571e-027;1,571e-027;1,571e-027;1,571e-027;3,592e-005;1,571e-027;1,571e-027;3,179e-003;2,880e-003;2,895e-003;2,921e-003;1,653e-003;4,261e-004;1,042e-003;8,432e-004;1,017e-003;1,692e-003;1,140e-003;1,673e-003;2,962e-003;2,357e-004;3,035e-003
620;3,461e-003;5,513e-008;1,601e-027;1,601e-027;1,601e-027;3,424e-005;1,601e-027;1,601e-027;3,204e-003;2,938e-003;2,938e-003;2,970e-003;1,768e-003;4,524e-004;1,053e-003;8,391e-004;1,008e-003;1,703e-003;1,145e-003;1,688e-003;3,013e-003;2,318e-004;3,080e-003
622;3,516e-003;1,957e-007;1,633e-027;1,633e-027;1,633e-027;3,410e-005;1,633e-027;1,633e-027;3,241e-003;2,998e-003;2,983e-003;3,015e-003;1,871e-003;4,765e-004;1,071e-003;8,452e-004;1,007e-003;1,720e-003;1,158e-003;1,708e-003;3,065e-003;2,309e-004;3,135e-003
624;3,580e-003;4,339e-008;1,671e-027;1,671e-027;1,671e-027;3,546e-005;1,671e-027;1,671e-027;3,287e-003;3,065e-003;3,031e-003;3,065e-003;1,973e-003;5,051e-004;1,096e-003;8,594e-004;1,015e-003;1,746e-003;1,177e-003;1,732e-003;3,124e-003;2,332e-004;3,204e-003
626;3,649e-003;1,712e-027;1,712e-027;1,712e-027;1,712e-027;3,608e-005;1,712e-027;1,712e-027;3,343e-003;3,138e-003;3,084e-003;3,120e-003;2,071e-003;5,385e-004;1,132e-003;8,841e-004;1,029e-003;1,779e-003;1,206e-003;1,763e-003;3,190e-003;2,389e-004;3,285e-003
628;3,702e-003;1,757e-027;1,757e-027;1,757e-027;1,757e-027;3,737e-005;1,757e-027;1,757e-027;3,396e-003;3,207e-003;3,134e-003;3,172e-003;2,163e-003;5,773e-004;1,174e-003;9,190e-004;1,048e-003;1,811e-003;1,238e-003;1,791e-003;3,251e-003;2,457e-004;3,368e-003
630;3,708e-003;1,806e-027;1,806e-027;1,806e-027;1,806e-027;3,913e-005;1,806e-027;1,806e-027;3,427e-003;3,246e-003;3,162e-003;3,203e-003;2,233e-003;6,220e-004;1,220e-003;9,604e-004;1,064e-003;1,832e-003;1,270e-003;1,807e-003;3,285e-003;2,555e-004;3,428e-003
632;3,646e-003;1,853e-027;1,853e-027;1,853e-027;1,853e-027;3,926e-005;1,853e-027;1,853e-027;3,410e-003;3,234e-003;3,149e-003;3,194e-003;2,259e-003;6,605e-004;1,252e-003;9,977e-004;1,068e-003;1,826e-003;1,284e-003;1,799e-003;3,274e-003;2,615e-004;3,439e-003
634;3,507e-003;1,902e-027;1,902e-027;1,902e-027;1,902e-027;4,007e-005;1,902e-027;1,902e-027;3,328e-003;3,159e-003;3,077e-003;3,128e-003;2,238e-003;6,944e-004;1,266e-003;1,022e-003;1,056e-003;1,786e-003;1,278e-003;1,757e-003;3,199e-003;2,655e-004;3,382e-003
636;3,301e-003;5,255e-007;1,949e-027;1,949e-027;1,949e-027;3,919e-005;1,949e-027;1,949e-027;3,178e-003;3,015e-003;2,945e-003;2,999e-003;2,164e-003;7,185e-004;1,259e-003;1,032e-003;1,023e-003;1,707e-003;1,247e-003;1,680e-003;3,055e-003;2,629e-004;3,250e-003
638;3,038e-003;4,810e-007;1,999e-027;1,999e-027;1,999e-027;3,886e-005;1,999e-027;1,999e-027;2,959e-003;2,802e-003;2,749e-003;2,808e-003;2,040e-003;7,356e-004;1,230e-003;1,030e-003;9,692e-004;1,588e-003;1,191e-003;1,567e-003;2,843e-003;2,578e-004;3,040e-003
640;2,789e-003;5,334e-007;2,047e-027;2,047e-027;2,047e-027;3,489e-005;2,047e-027;2,047e-027;2,726e-003;2,578e-003;2,544e-003;2,603e-003;1,902e-003;7,489e-004;1,196e-003;1,023e-003;9,116e-004;1,460e-003;1,128e-003;1,449e-003;2,617e-003;2,497e-004;2,811e-003
642;2,588e-003;2,194e-006;2,094e-027;2,094e-027;2,094e-027;3,325e-005;2,094e-027;2,094e-027;2,526e-003;2,385e-003;2,366e-003;2,425e-003;1,782e-003;7,673e-004;1,168e-003;1,022e-003;8,608e-004;1,348e-003;1,069e-003;1,349e-003;2,423e-003;2,420e-004;2,608e-003
644;2,420e-003;3,279e-006;2,142e-027;2,142e-027;2,142e-027;3,206e-005;2,142e-027;2,142e-027;2,352e-003;2,221e-003;2,215e-003;2,272e-003;1,679e-003;7,914e-004;1,149e-003;1,027e-003;8,185e-004;1,249e-003;1,019e-003;1,261e-003;2,257e-003;2,368e-004;2,429e-003
646;2,279e-003;5,065e-006;2,187e-027;2,187e-027;2,187e-027;3,076e-005;2,187e-027;2,187e-027;2,209e-003;2,085e-003;2,085e-003;2,143e-003;1,593e-003;8,191e-004;1,137e-003;1,039e-003;7,818e-004;1,163e-003;9,750e-004;1,189e-003;2,117e-003;2,308e-004;2,276e-003
648;2,142e-003;1,016e-005;2,237e-027;2,237e-027;2,237e-027;3,005e-005;2,237e-027;2,237e-027;2,071e-003;1,957e-003;1,960e-003;2,017e-003;1,510e-003;8,538e-004;1,131e-003;1,058e-003;7,443e-004;1,077e-003;9,287e-004;1,119e-003;1,986e-003;2,245e-004;2,126e-003
650;2,034e-003;1,250e-005;2,283e-027;2,283e-027;2,283e-027;2,815e-005;2,283e-027;2,283e-027;1,963e-003;1,858e-003;1,859e-003;1,917e-003;1,447e-003;8,870e-004;1,127e-003;1,075e-003;7,119e-004;1,005e-003;8,892e-004;1,066e-003;1,882e-003;2,168e-004;2,007e-003
652;1,939e-003;1,666e-005;2,328e-027;2,328e-027;2,328e-027;2,620e-005;2,328e-027;2,328e-027;1,868e-003;1,774e-003;1,772e-003;1,826e-003;1,392e-003;9,195e-004;1,127e-003;1,095e-003;6,794e-004;9,383e-004;8,488e-004;1,016e-003;1,795e-003;2,084e-004;1,900e-003
654;1,852e-003;2,116e-005;2,373e-027;2,373e-027;2,373e-027;2,399e-005;2,373e-027;2,373e-027;1,782e-003;1,696e-003;1,688e-003;1,740e-003;1,340e-003;9,478e-004;1,124e-003;1,109e-003;6,436e-004;8,733e-004;8,072e-004;9,687e-004;1,715e-003;1,991e-004;1,802e-003
656;1,768e-003;2,488e-005;2,419e-027;2,419e-027;2,419e-027;1,901e-005;2,419e-027;2,419e-027;1,698e-003;1,623e-003;1,607e-003;1,654e-003;1,289e-003;9,725e-004;1,119e-003;1,120e-003;6,036e-004;8,078e-004;7,595e-004;9,222e-004;1,638e-003;1,853e-004;1,708e-003
658;1,680e-003;2,946e-005;2,467e-027;2,467e-027;2,467e-027;1,687e-005;2,467e-027;2,467e-027;1,612e-003;1,545e-003;1,522e-003;1,567e-003;1,234e-003;9,920e-004;1,112e-003;1,129e-003;5,560e-004;7,386e-004;7,051e-004;8,707e-004;1,559e-003;1,682e-004;1,612e-003
660;1,607e-003;3,434e-005;2,511e-027;2,511e-027;2,511e-027;1,332e-005;2,511e-027;2,511e-027;1,539e-003;1,480e-003;1,450e-003;1,492e-003;1,189e-003;1,003e-003;1,103e-003;1,131e-003;5,109e-004;6,778e-004;6,570e-004;8,259e-004;1,493e-003;1,533e-004;1,531e-003
662;1,537e-003;3,649e-005;2,557e-027;2,557e-027;2,557e-027;1,099e-005;2,557e-027;2,557e-027;1,468e-003;1,419e-003;1,384e-003;1,419e-003;1,143e-003;1,009e-003;1,094e-003;1,128e-003;4,654e-004;6,200e-004;6,078e-004;7,820e-004;1,430e-003;1,371e-004;1,457e-003
664;1,467e-003;3,717e-005;2,602e-027;2,602e-027;2,602e-027;9,123e-006;2,602e-027;2,602e-027;1,401e-003;1,356e-003;1,322e-003;1,352e-003;1,100e-003;1,009e-003;1,079e-003;1,122e-003;4,218e-004;5,669e-004;5,617e-004;7,404e-004;1,368e-003;1,224e-004;1,386e-003
666;1,395e-003;3,906e-005;2,650e-027;1,610e-007;2,650e-027;7,879e-006;2,650e-027;2,650e-027;1,328e-003;1,289e-003;1,254e-003;1,279e-003;1,051e-003;9,987e-004;1,059e-003;1,110e-003;3,773e-004;5,142e-004;5,139e-004;6,966e-004;1,303e-003;1,072e-004;1,314e-003
668;1,328e-003;3,798e-005;2,699e-027;1,002e-006;2,699e-027;6,512e-006;2,699e-027;2,699e-027;1,262e-003;1,225e-003;1,194e-003;1,214e-003;1,007e-003;9,883e-004;1,038e-003;1,092e-003;3,441e-004;4,698e-004;4,756e-004;6,584e-004;1,243e-003;9,399e-005;1,248e-003
670;1,267e-003;3,768e-005;2,748e-027;2,748e-027;2,748e-027;3,863e-006;2,748e-027;2,748e-027;1,202e-003;1,171e-003;1,143e-003;1,156e-003;9,660e-004;9,709e-004;1,015e-003;1,072e-003;3,176e-004;4,354e-004;4,450e-004;6,240e-004;1,188e-003;8,591e-005;1,189e-003
672;1,208e-003;3,810e-005;2,796e-027;2,272e-006;2,796e-027;3,337e-006;2,796e-027;2,796e-027;1,145e-003;1,115e-003;1,092e-003;1,102e-003;9,273e-004;9,491e-004;9,916e-004;1,049e-003;2,969e-004;4,075e-004;4,188e-004;5,931e-004;1,135e-003;7,923e-005;1,134e-003
674;1,149e-003;3,883e-005;2,845e-027;2,235e-006;2,845e-027;2,064e-006;2,845e-027;2,845e-027;1,086e-003;1,059e-003;1,043e-003;1,050e-003;8,880e-004;9,222e-004;9,635e-004;1,021e-003;2,806e-004;3,838e-004;3,975e-004;5,662e-004;1,081e-003;7,412e-005;1,081e-003
676;1,086e-003;3,898e-005;2,900e-027;8,195e-007;2,900e-027;2,488e-006;2,900e-027;2,900e-027;1,025e-003;1,003e-003;9,925e-004;9,963e-004;8,461e-004;8,913e-004;9,295e-004;9,854e-004;2,681e-004;3,607e-004;3,793e-004;5,383e-004;1,023e-003;6,962e-005;1,027e-003
678;1,033e-003;4,109e-005;2,952e-027;4,211e-006;2,952e-027;2,299e-006;2,952e-027;2,952e-027;9,748e-004;9,551e-004;9,501e-004;9,524e-004;8,114e-004;8,623e-004;8,977e-004;9,525e-004;2,611e-004;3,500e-004;3,687e-004;5,181e-004;9,748e-004;6,983e-005;9,809e-004
680;9,838e-004;4,434e-005;3,008e-027;5,022e-006;3,008e-027;1,979e-006;3,008e-027;3,008e-027;9,285e-004;9,086e-004;9,094e-004;9,122e-004;7,793e-004;8,335e-004;8,666e-004;9,167e-004;2,601e-004;3,403e-004;3,615e-004;5,013e-004;9,294e-004;7,044e-005;9,383e-004
682;9,354e-004;4,670e-005;3,065e-027;7,107e-006;3,065e-027;3,899e-006;3,065e-027;3,065e-027;8,820e-004;8,640e-004;8,671e-004;8,716e-004;7,468e-004;8,019e-004;8,348e-004;8,815e-004;2,620e-004;3,374e-004;3,576e-004;4,850e-004;8,833e-004;7,258e-005;8,983e-004
684;8,825e-004;5,073e-005;3,130e-027;1,010e-005;1,049e-007;3,123e-006;3,130e-027;3,130e-027;8,365e-004;8,194e-004;8,243e-004;8,284e-004;7,132e-004;7,672e-004;7,964e-004;8,403e-004;2,686e-004;3,361e-004;3,576e-004;4,717e-004;8,353e-004;7,736e-005;8,549e-004
686;8,351e-004;5,839e-005;3,193e-027;1,603e-005;2,331e-006;5,086e-006;3,193e-027;3,193e-027;7,933e-004;7,785e-004;7,843e-004;7,889e-004;6,834e-004;7,363e-004;7,581e-004;7,978e-004;2,765e-004;3,401e-004;3,625e-004;4,622e-004;7,936e-004;8,542e-005;8,147e-004
688;7,934e-004;6,430e-005;3,259e-027;2,084e-005;5,336e-006;5,422e-006;3,259e-027;3,259e-027;7,544e-004;7,419e-004;7,450e-004;7,526e-004;6,552e-004;7,075e-004;7,248e-004;7,611e-004;2,847e-004;3,459e-004;3,679e-004;4,528e-004;7,544e-004;9,277e-005;7,784e-004
690;7,533e-004;7,415e-005;3,328e-027;2,679e-005;7,460e-006;9,219e-006;3,328e-027;3,328e-027;7,170e-004;7,076e-004;7,086e-004;7,177e-004;6,289e-004;6,767e-004;6,910e-004;7,236e-004;2,908e-004;3,484e-004;3,731e-004;4,440e-004;7,154e-004;1,011e-004;7,440e-004
692;7,111e-004;8,513e-005;3,403e-027;3,624e-005;1,276e-005;1,196e-005;3,403e-027;3,403e-027;6,810e-004;6,697e-004;6,695e-004;6,811e-004;5,991e-004;6,437e-004;6,535e-004;6,828e-004;2,959e-004;3,504e-004;3,784e-004;4,347e-004;6,777e-004;1,109e-004;7,070e-004
694;6,690e-004;9,732e-005;3,482e-027;4,644e-005;2,060e-005;1,323e-005;3,482e-027;3,482e-027;6,443e-004;6,369e-004;6,327e-004;6,437e-004;5,692e-004;6,128e-004;6,185e-004;6,412e-004;3,032e-004;3,531e-004;3,812e-004;4,271e-004;6,397e-004;1,235e-004;6,716e-004
