;S Clear;S 181 Congo R;S 071 Tokyo R;S 120 Deep Blue R;S 119 Dark Blue R;S 115 Peacock R;S 090 Dark Y G R;S 139 P Green R;S 101 Yellow R;S 158 Deep Orange R;S 022 Dark Amber R;S 019 Fire R;S 106 P Red R;S 126 Mauve R;S 170 Deep Lav R;S 137 Special Lav R;S 117 Steel Blue R;S 088 Lime Green R;S 156 Chocolate R;S 652 Urban Sodium R;S 111 Dark Pink R;S 200 Double CTB R;S 204 Full CTO R
432;7,995e-004;1,394e-004;1,967e-004;2,491e-004;3,166e-004;4,440e-004;1,421e-027;1,421e-027;1,421e-027;3,577e-006;1,421e-027;3,100e-006;1,421e-027;2,675e-004;4,713e-004;6,893e-004;7,353e-004;4,151e-007;1,572e-004;6,929e-006;4,491e-004;5,664e-004;1,620e-004
434;1,021e-003;1,850e-004;2,631e-004;3,392e-004;4,202e-004;5,688e-004;1,272e-007;1,403e-027;1,403e-027;4,597e-006;1,403e-027;5,208e-006;1,403e-027;3,461e-004;5,977e-004;8,790e-004;9,413e-004;2,901e-006;1,915e-004;8,763e-006;5,719e-004;7,331e-004;2,061e-004
436;1,287e-003;2,412e-004;3,450e-004;4,516e-004;5,494e-004;7,218e-004;9,843e-008;1,388e-027;1,388e-027;5,391e-006;1,720e-007;7,458e-006;1,388e-027;4,415e-004;7,461e-004;1,102e-003;1,189e-003;6,491e-006;2,307e-004;1,143e-005;7,166e-004;9,366e-004;2,596e-004
438;1,609e-003;3,088e-004;4,454e-004;5,910e-004;7,085e-004;9,107e-004;1,708e-006;1,379e-027;1,379e-027;7,720e-006;2,779e-007;9,720e-006;5,256e-007;5,571e-004;9,236e-004;1,368e-003;1,486e-003;8,678e-006;2,751e-004;1,465e-005;8,861e-004;1,185e-003;3,213e-004
440;1,998e-003;3,886e-004;5,657e-004;7,617e-004;9,044e-004;1,144e-003;2,429e-006;1,373e-027;1,373e-027;8,621e-006;8,658e-007;1,309e-005;1,889e-006;6,945e-004;1,136e-003;1,684e-003;1,839e-003;1,305e-005;3,237e-004;1,939e-005;1,082e-003;1,479e-003;3,959e-004
442;2,519e-003;4,974e-004;7,233e-004;9,913e-004;1,169e-003;1,466e-003;3,902e-006;1,368e-027;1,368e-027;1,080e-005;2,238e-006;1,741e-005;3,313e-006;8,745e-004;1,420e-003;2,108e-003;2,305e-003;2,144e-005;3,852e-004;2,702e-005;1,334e-003;1,863e-003;4,953e-004
444;3,124e-003;6,226e-004;8,995e-004;1,256e-003;1,480e-003;1,847e-003;6,865e-006;1,372e-027;1,372e-027;1,241e-005;3,038e-006;2,221e-005;3,964e-006;1,075e-003;1,749e-003;2,601e-003;2,843e-003;3,353e-005;4,531e-004;3,588e-005;1,615e-003;2,291e-003;6,107e-004
446;3,832e-003;7,699e-004;1,102e-003;1,564e-003;1,845e-003;2,302e-003;1,088e-005;1,382e-027;1,382e-027;1,420e-005;3,886e-006;2,806e-005;5,325e-006;1,304e-003;2,142e-003;3,187e-003;3,477e-003;4,869e-005;5,312e-004;4,841e-005;1,941e-003;2,784e-003;7,498e-004
448;4,595e-003;9,315e-004;1,316e-003;1,900e-003;2,244e-003;2,810e-003;1,565e-005;1,390e-027;1,390e-027;1,579e-005;4,845e-006;3,475e-005;6,302e-006;1,548e-003;2,578e-003;3,837e-003;4,172e-003;7,019e-005;6,129e-004;6,391e-005;2,296e-003;3,314e-003;9,087e-004
450;5,365e-003;1,097e-003;1,526e-003;2,245e-003;2,658e-003;3,344e-003;2,090e-005;1,404e-027;1,404e-027;1,750e-005;5,591e-006;4,119e-005;8,085e-006;1,791e-003;3,037e-003;4,521e-003;4,899e-003;9,826e-005;6,964e-004;8,243e-005;2,668e-003;3,864e-003;1,081e-003
452;6,035e-003;1,234e-003;1,695e-003;2,548e-003;3,027e-003;3,835e-003;2,643e-005;1,421e-027;1,421e-027;1,902e-005;7,062e-006;4,755e-005;8,693e-006;1,994e-003;3,453e-003;5,148e-003;5,562e-003;1,337e-004;7,656e-004;1,036e-004;3,001e-003;4,368e-003;1,244e-003
454;6,552e-003;1,316e-003;1,785e-003;2,758e-003;3,292e-003;4,210e-003;3,270e-005;1,440e-027;1,440e-027;1,873e-005;7,266e-006;5,026e-005;9,297e-006;2,116e-003;3,757e-003;5,639e-003;6,089e-003;1,752e-004;8,061e-004;1,243e-004;3,237e-003;4,757e-003;1,372e-003
456;6,864e-003;1,303e-003;1,747e-003;2,798e-003;3,370e-003;4,375e-003;3,572e-005;5,021e-008;1,455e-027;1,723e-005;7,062e-006;5,180e-005;8,715e-006;2,101e-003;3,854e-003;5,893e-003;6,408e-003;2,210e-004;7,974e-004;1,419e-004;3,292e-003;4,929e-003;1,429e-003
458;6,881e-003;1,203e-003;1,595e-003;2,654e-003;3,233e-003;4,272e-003;3,876e-005;5,347e-007;5,912e-007;1,436e-005;6,235e-006;4,950e-005;8,123e-006;1,946e-003;3,700e-003;5,812e-003;6,420e-003;2,621e-004;7,430e-004;1,511e-004;3,137e-003;4,813e-003;1,395e-003
460;6,523e-003;1,048e-003;1,371e-003;2,371e-003;2,934e-003;3,959e-003;3,980e-005;7,070e-007;3,093e-006;1,208e-005;5,282e-006;4,489e-005;7,268e-006;1,699e-003;3,356e-003;5,389e-003;6,082e-003;2,962e-004;6,581e-004;1,538e-004;2,826e-003;4,446e-003;1,294e-003
462;5,751e-003;8,700e-004;1,120e-003;2,014e-003;2,539e-003;3,508e-003;4,042e-005;6,635e-007;4,842e-006;8,522e-006;4,784e-006;3,835e-005;6,085e-006;1,409e-003;2,894e-003;4,687e-003;5,389e-003;3,261e-004;5,590e-004;1,509e-004;2,423e-003;3,896e-003;1,153e-003
464;4,813e-003;7,036e-004;8,880e-004;1,661e-003;2,140e-003;3,038e-003;3,999e-005;6,031e-007;6,532e-006;5,653e-006;3,646e-006;3,189e-005;4,538e-006;1,132e-003;2,432e-003;3,920e-003;4,553e-003;3,551e-004;4,652e-004;1,465e-004;2,019e-003;3,307e-003;1,007e-003
466;3,983e-003;5,626e-004;6,949e-004;1,355e-003;1,788e-003;2,626e-003;4,029e-005;1,220e-006;8,693e-006;4,074e-006;1,902e-006;2,644e-005;2,791e-006;8,974e-004;2,031e-003;3,246e-003;3,791e-003;3,888e-004;3,874e-004;1,425e-004;1,668e-003;2,772e-003;8,798e-004
