;M41;M40;M39;M38;M37;M36;M35;M34;M33;M32;M31;M30;M29;M28;M27;M26;M25;M24;M23;M22;M21;M20;M19;M18;M17;M16;M15;M14;M13;M12;M11;M10;M9;M8;M7;M6
424;1,614e-003;7,150e-004;3,805e-004;3,094e-026;4,003e-005;2,461e-004;1,002e-003;2,172e-003;3,943e-003;6,786e-003;1,280e-002;1,336e-002;1,342e-002;1,337e-002;6,663e-003;2,171e-003;3,094e-026;3,094e-026;3,094e-026;3,094e-026;1,949e-003;1,400e-002;3,094e-026;3,094e-026;5,918e-004;3,094e-026;7,468e-003;4,501e-003;3,757e-003;1,889e-003;3,939e-004;1,357e-002;8,556e-003;7,247e-003;3,696e-003;8,422e-004
426;1,848e-003;8,051e-004;4,465e-004;1,736e-005;6,252e-005;3,840e-004;1,427e-003;3,074e-003;5,636e-003;9,675e-003;1,808e-002;1,892e-002;1,902e-002;1,891e-002;9,447e-003;3,150e-003;3,019e-026;3,019e-026;3,019e-026;3,019e-026;2,203e-003;1,987e-002;3,019e-026;3,019e-026;6,994e-004;3,019e-026;1,035e-002;6,069e-003;4,990e-003;2,437e-003;4,806e-004;1,868e-002;1,151e-002;9,608e-003;4,761e-003;1,010e-003
428;2,072e-003;9,061e-004;5,206e-004;1,580e-005;1,061e-004;5,772e-004;2,080e-003;4,408e-003;8,074e-003;1,383e-002;2,571e-002;2,697e-002;2,709e-002;2,699e-002;1,355e-002;4,577e-003;2,933e-026;2,933e-026;2,933e-026;2,933e-026;2,475e-003;2,838e-002;2,933e-026;2,933e-026;7,820e-004;2,933e-026;1,450e-002;8,280e-003;6,718e-003;3,194e-003;5,704e-004;2,599e-002;1,570e-002;1,294e-002;6,217e-003;1,191e-003
430;2,255e-003;9,929e-004;5,911e-004;3,447e-005;1,620e-004;8,375e-004;2,866e-003;6,021e-003;1,101e-002;1,888e-002;3,493e-002;3,664e-002;3,683e-002;3,673e-002;1,849e-002;6,340e-003;2,880e-026;2,087e-007;2,880e-026;2,880e-026;2,712e-003;3,859e-002;2,880e-026;2,880e-026;8,503e-004;2,880e-026;1,950e-002;1,092e-002;8,746e-003;4,062e-003;6,498e-004;3,477e-002;2,071e-002;1,690e-002;7,933e-003;1,378e-003
432;2,408e-003;1,060e-003;6,432e-004;4,022e-005;2,501e-004;1,149e-003;3,845e-003;8,033e-003;1,463e-002;2,505e-002;4,610e-002;4,835e-002;4,860e-002;4,845e-002;2,454e-002;8,485e-003;2,830e-026;8,188e-006;2,830e-026;2,830e-026;2,916e-003;5,090e-002;2,830e-026;2,830e-026;9,074e-004;2,830e-026;2,557e-002;1,410e-002;1,120e-002;5,077e-003;7,463e-004;4,537e-002;2,678e-002;2,168e-002;9,979e-003;1,590e-003
434;2,550e-003;1,111e-003;7,012e-004;5,978e-005;3,328e-004;1,528e-003;5,016e-003;1,043e-002;1,899e-002;3,244e-002;5,924e-002;6,209e-002;6,239e-002;6,219e-002;3,177e-002;1,105e-002;1,359e-005;3,140e-005;2,796e-026;2,796e-026;3,133e-003;6,525e-002;2,796e-026;2,796e-026;9,479e-004;2,796e-026;3,280e-002;1,787e-002;1,410e-002;6,282e-003;8,520e-004;5,785e-002;3,400e-002;2,736e-002;1,239e-002;1,823e-003
436;2,657e-003;1,138e-003;7,401e-004;6,748e-005;4,513e-004;1,967e-003;6,351e-003;1,314e-002;2,390e-002;4,074e-002;7,371e-002;7,708e-002;7,745e-002;7,722e-002;3,988e-002;1,393e-002;4,596e-005;6,608e-005;2,766e-026;2,766e-026;3,316e-003;8,078e-002;2,978e-005;2,766e-026;9,735e-004;2,766e-026;4,086e-002;2,207e-002;1,732e-002;7,624e-003;9,620e-004;7,165e-002;4,212e-002;3,377e-002;1,507e-002;2,079e-003
438;2,743e-003;1,169e-003;7,779e-004;5,564e-005;6,002e-004;2,466e-003;7,795e-003;1,605e-002;2,917e-002;4,962e-002;8,881e-002;9,252e-002;9,294e-002;9,269e-002;4,846e-002;1,702e-002;9,165e-005;1,209e-004;2,746e-026;1,286e-005;3,492e-003;9,649e-002;8,250e-005;2,746e-026;9,944e-004;2,746e-026;4,934e-002;2,653e-002;2,073e-002;9,036e-003;1,085e-003;8,617e-002;5,085e-002;4,066e-002;1,795e-002;2,368e-003
440;2,794e-003;1,179e-003;8,411e-004;7,436e-005;7,731e-004;2,974e-003;9,211e-003;1,890e-002;3,431e-002;5,838e-002;1,032e-001;1,069e-001;1,073e-001;1,071e-001;5,687e-002;2,001e-002;1,622e-004;1,817e-004;5,923e-006;4,556e-005;3,628e-003;1,107e-001;1,437e-004;2,735e-026;1,008e-003;2,735e-026;5,758e-002;3,083e-002;2,404e-002;1,041e-002;1,217e-003;1,002e-001;5,958e-002;4,756e-002;2,080e-002;2,645e-003
442;2,804e-003;1,187e-003;8,836e-004;9,504e-005;9,662e-004;3,466e-003;1,054e-002;2,152e-002;3,908e-002;6,662e-002;1,162e-001;1,194e-001;1,198e-001;1,196e-001;6,462e-002;2,272e-002;2,749e-004;2,699e-004;3,727e-005;7,214e-005;3,738e-003;1,227e-001;2,469e-004;2,726e-026;1,009e-003;2,726e-026;6,506e-002;3,465e-002;2,698e-002;1,161e-002;1,376e-003;1,132e-001;6,803e-002;5,421e-002;2,345e-002;2,959e-003
444;2,768e-003;1,145e-003;9,288e-004;1,066e-004;1,149e-003;3,843e-003;1,137e-002;2,315e-002;4,211e-002;7,218e-002;1,254e-001;1,282e-001;1,285e-001;1,283e-001;6,962e-002;2,437e-002;4,242e-004;4,015e-004;7,718e-005;1,132e-004;3,765e-003;1,309e-001;3,953e-004;2,733e-026;1,006e-003;2,733e-026;6,974e-002;3,689e-002;2,871e-002;1,230e-002;1,510e-003;1,227e-001;7,405e-002;5,889e-002;2,518e-002;3,200e-003
446;2,682e-003;1,131e-003;9,644e-004;1,060e-004;1,277e-003;4,033e-003;1,164e-002;2,365e-002;4,313e-002;7,467e-002;1,321e-001;1,344e-001;1,347e-001;1,346e-001;7,154e-002;2,487e-002;6,244e-004;5,635e-004;1,342e-004;1,736e-004;3,712e-003;1,367e-001;5,874e-004;2,753e-026;9,770e-004;2,753e-026;7,133e-002;3,738e-002;2,908e-002;1,244e-002;1,587e-003;1,295e-001;7,732e-002;6,126e-002;2,583e-002;3,332e-003
