;M41;M40;M39;M38;M37;M36;M35;M34;M33;M32;M31;M30;M29;M28;M27;M26;M25;M24;M23;M22;M21;M20;M19;M18;M17;M16;M15;M14;M13;M12;M11;M10;M9;M8;M7;M6
592;4,060e-002;2,484e-002;1,878e-002;5,396e-003;3,973e-003;3,980e-003;4,056e-003;4,106e-003;4,163e-003;4,252e-003;4,478e-003;9,814e-004;4,987e-004;4,022e-004;4,612e-004;2,354e-004;3,234e-004;6,717e-004;5,814e-004;5,570e-004;3,146e-002;3,545e-004;1,299e-004;4,601e-004;2,148e-002;3,906e-003;1,415e-002;2,011e-002;2,419e-002;2,011e-002;1,112e-002;2,777e-002;4,242e-002;5,134e-002;4,181e-002;2,311e-002
594;4,075e-002;2,523e-002;1,983e-002;6,362e-003;4,929e-003;4,929e-003;5,017e-003;5,080e-003;5,132e-003;5,240e-003;5,481e-003;1,192e-003;5,775e-004;4,412e-004;5,073e-004;2,338e-004;3,116e-004;6,069e-004;5,410e-004;5,099e-004;3,072e-002;3,929e-004;1,460e-004;4,053e-004;2,165e-002;4,859e-003;1,404e-002;2,016e-002;2,440e-002;2,043e-002;1,155e-002;2,753e-002;4,245e-002;5,169e-002;4,245e-002;2,400e-002
596;4,090e-002;2,563e-002;2,102e-002;7,494e-003;6,068e-003;6,067e-003;6,127e-003;6,212e-003;6,269e-003;6,407e-003;6,660e-003;1,409e-003;6,418e-004;4,746e-004;5,202e-004;2,573e-004;3,055e-004;5,748e-004;4,869e-004;4,592e-004;2,997e-002;4,226e-004;1,568e-004;3,542e-004;2,177e-002;5,971e-003;1,397e-002;2,024e-002;2,464e-002;2,080e-002;1,205e-002;2,734e-002;4,255e-002;5,210e-002;4,317e-002;2,499e-002
598;4,100e-002;2,601e-002;2,238e-002;8,872e-003;7,430e-003;7,420e-003;7,500e-003;7,572e-003;7,674e-003;7,789e-003;8,071e-003;1,694e-003;7,246e-004;5,293e-004;5,725e-004;2,759e-004;3,124e-004;5,341e-004;4,513e-004;4,176e-004;2,914e-002;4,534e-004;1,721e-004;3,182e-004;2,180e-002;7,320e-003;1,388e-002;2,037e-002;2,493e-002;2,122e-002;1,263e-002;2,716e-002;4,270e-002;5,260e-002;4,397e-002;2,614e-002
600;4,110e-002;2,637e-002;2,390e-002;1,044e-002;8,982e-003;9,011e-003;9,078e-003;9,158e-003;9,258e-003;9,410e-003;9,708e-003;1,993e-003;8,151e-004;5,489e-004;5,960e-004;2,861e-004;3,017e-004;5,231e-004;4,059e-004;3,746e-004;2,825e-002;4,921e-004;1,979e-004;2,778e-004;2,176e-002;8,893e-003;1,383e-002;2,052e-002;2,527e-002;2,170e-002;1,327e-002;2,703e-002;4,295e-002;5,319e-002;4,490e-002;2,742e-002
602;4,115e-002;2,669e-002;2,538e-002;1,203e-002;1,059e-002;1,059e-002;1,069e-002;1,078e-002;1,087e-002;1,104e-002;1,133e-002;2,297e-003;8,921e-004;5,907e-004;6,149e-004;2,975e-004;3,100e-004;5,121e-004;3,861e-004;3,477e-004;2,742e-002;5,290e-004;1,997e-004;2,400e-004;2,166e-002;1,048e-002;1,380e-002;2,070e-002;2,560e-002;2,217e-002;1,390e-002;2,692e-002;4,322e-002;5,381e-002;4,580e-002;2,871e-002
604;4,122e-002;2,697e-002;2,699e-002;1,375e-002;1,231e-002;1,232e-002;1,241e-002;1,251e-002;1,263e-002;1,281e-002;1,311e-002;2,622e-003;9,850e-004;6,227e-004;6,443e-004;3,145e-004;3,097e-004;4,895e-004;3,612e-004;3,228e-004;2,659e-002;5,574e-004;2,118e-004;2,134e-004;2,149e-002;1,219e-002;1,380e-002;2,089e-002;2,597e-002;2,266e-002;1,458e-002;2,687e-002;4,356e-002;5,451e-002;4,679e-002;3,009e-002
606;4,125e-002;2,721e-002;2,862e-002;1,556e-002;1,412e-002;1,416e-002;1,422e-002;1,432e-002;1,447e-002;1,466e-002;1,498e-002;2,959e-003;1,058e-003;6,547e-004;6,742e-004;3,334e-004;3,188e-004;4,766e-004;3,357e-004;3,024e-004;2,575e-002;5,816e-004;2,310e-004;1,864e-004;2,127e-002;1,398e-002;1,379e-002;2,111e-002;2,635e-002;2,315e-002;1,525e-002;2,683e-002;4,393e-002;5,523e-002;4,779e-002;3,150e-002
608;4,120e-002;2,737e-002;3,029e-002;1,746e-002;1,603e-002;1,606e-002;1,613e-002;1,623e-002;1,639e-002;1,663e-002;1,694e-002;3,297e-003;1,132e-003;6,692e-004;6,967e-004;3,353e-004;3,051e-004;4,744e-004;3,270e-004;3,071e-004;2,484e-002;5,985e-004;2,392e-004;1,796e-004;2,096e-002;1,586e-002;1,376e-002;2,130e-002;2,669e-002;2,364e-002;1,595e-002;2,675e-002;4,427e-002;5,592e-002;4,878e-002;3,293e-002
610;4,104e-002;2,750e-002;3,202e-002;1,944e-002;1,802e-002;1,809e-002;1,815e-002;1,826e-002;1,843e-002;1,868e-002;1,902e-002;3,656e-003;1,223e-003;7,217e-004;7,161e-004;3,620e-004;3,181e-004;4,675e-004;3,062e-004;3,000e-004;2,387e-002;6,221e-004;2,576e-004;1,533e-004;2,056e-002;1,785e-002;1,374e-002;2,147e-002;2,704e-002;2,410e-002;1,667e-002;2,667e-002;4,460e-002;5,662e-002;4,976e-002;3,441e-002
612;4,088e-002;2,756e-002;3,355e-002;2,123e-002;1,985e-002;1,989e-002;1,997e-002;2,006e-002;2,026e-002;2,052e-002;2,085e-002;3,971e-003;1,287e-003;7,307e-004;7,155e-004;3,617e-004;3,136e-004;4,612e-004;2,900e-004;2,921e-004;2,302e-002;6,359e-004;2,633e-004;1,479e-004;2,017e-002;1,960e-002;1,370e-002;2,161e-002;2,732e-002;2,449e-002;1,727e-002;2,658e-002;4,487e-002;5,722e-002;5,063e-002;3,572e-002
614;4,063e-002;2,753e-002;3,496e-002;2,294e-002;2,157e-002;2,162e-002;2,169e-002;2,179e-002;2,198e-002;2,228e-002;2,261e-002;4,257e-003;1,339e-003;7,364e-004;7,148e-004;3,791e-004;3,316e-004;4,538e-004;2,919e-004;2,817e-004;2,216e-002;6,455e-004;2,689e-004;1,328e-004;1,973e-002;2,127e-002;1,365e-002;2,171e-002;2,753e-002;2,481e-002;1,781e-002;2,647e-002;4,509e-002;5,773e-002;5,138e-002;3,692e-002
616;4,029e-002;2,741e-002;3,621e-002;2,451e-002;2,316e-002;2,321e-002;2,327e-002;2,339e-002;2,358e-002;2,391e-002;2,425e-002;4,512e-003;1,396e-003;7,494e-004;7,390e-004;3,981e-004;3,167e-004;4,629e-004;2,870e-004;2,579e-004;2,131e-002;6,481e-004;2,800e-004;1,176e-004;1,926e-002;2,281e-002;1,357e-002;2,175e-002;2,766e-002;2,506e-002;1,827e-002;2,631e-002;4,522e-002;5,811e-002;5,200e-002;3,799e-002
618;3,984e-002;2,721e-002;3,734e-002;2,595e-002;2,464e-002;2,470e-002;2,475e-002;2,487e-002;2,508e-002;2,543e-002;2,578e-002;4,745e-003;1,421e-003;7,387e-004;7,339e-004;4,055e-004;3,338e-004;4,443e-004;2,828e-004;2,326e-004;2,044e-002;6,517e-004;2,859e-004;9,938e-005;1,873e-002;2,423e-002;1,345e-002;2,173e-002;2,770e-002;2,521e-002;1,867e-002;2,609e-002;4,521e-002;5,833e-002;5,243e-002;3,893e-002
620;3,925e-002;2,693e-002;3,828e-002;2,727e-002;2,600e-002;2,604e-002;2,613e-002;2,623e-002;2,646e-002;2,679e-002;2,713e-002;4,951e-003;1,462e-003;7,337e-004;7,292e-004;4,014e-004;3,260e-004;4,709e-004;2,570e-004;2,381e-004;1,951e-002;6,434e-004;2,735e-004;9,939e-005;1,813e-002;2,553e-002;1,329e-002;2,162e-002;2,765e-002;2,527e-002;1,898e-002;2,575e-002;4,504e-002;5,837e-002;5,271e-002;3,968e-002
622;3,864e-002;2,660e-002;3,894e-002;2,828e-002;2,702e-002;2,708e-002;2,717e-002;2,727e-002;2,752e-002;2,787e-002;2,819e-002;5,093e-003;1,482e-003;7,437e-004;7,085e-004;4,043e-004;3,187e-004;4,590e-004;2,418e-004;2,482e-004;1,874e-002;6,323e-004;2,791e-004;9,638e-005;1,758e-002;2,651e-002;1,312e-002;2,147e-002;2,752e-002;2,523e-002;1,916e-002;2,542e-002;4,478e-002;5,824e-002;5,279e-002;4,022e-002
624;3,798e-002;2,623e-002;3,944e-002;2,910e-002;2,788e-002;2,797e-002;2,801e-002;2,811e-002;2,837e-002;2,876e-002;2,907e-002;5,209e-003;1,490e-003;7,347e-004;7,079e-004;4,107e-004;3,065e-004;4,303e-004;2,421e-004;2,505e-004;1,798e-002;6,273e-004;2,721e-004;8,486e-005;1,703e-002;2,734e-002;1,293e-002;2,127e-002;2,732e-002;2,512e-002;1,928e-002;2,506e-002;4,443e-002;5,797e-002;5,272e-002;4,058e-002
626;3,730e-002;2,580e-002;3,980e-002;2,977e-002;2,858e-002;2,869e-002;2,871e-002;2,881e-002;2,908e-002;2,946e-002;2,978e-002;5,286e-003;1,467e-003;7,162e-004;7,014e-004;3,994e-004;3,115e-004;4,126e-004;2,282e-004;2,475e-004;1,726e-002;6,130e-004;2,589e-004;7,748e-005;1,649e-002;2,799e-002;1,272e-002;2,105e-002;2,707e-002;2,496e-002;1,934e-002;2,469e-002;4,403e-002;5,759e-002;5,254e-002;4,081e-002
628;3,652e-002;2,529e-002;3,995e-002;3,025e-002;2,911e-002;2,922e-002;2,925e-002;2,933e-002;2,959e-002;2,997e-002;3,030e-002;5,318e-003;1,462e-003;7,019e-004;6,799e-004;3,968e-004;3,023e-004;4,078e-004;2,276e-004;2,418e-004;1,652e-002;5,905e-004;2,595e-004;6,773e-005;1,592e-002;2,846e-002;1,246e-002;2,073e-002;2,671e-002;2,469e-002;1,929e-002;2,421e-002;4,347e-002;5,700e-002;5,212e-002;4,082e-002
630;3,564e-002;2,473e-002;3,988e-002;3,057e-002;2,946e-002;2,955e-002;2,959e-002;2,967e-002;2,996e-002;3,032e-002;3,067e-002;5,318e-003;1,465e-003;6,802e-004;6,699e-004;3,758e-004;2,957e-004;4,043e-004;2,027e-004;2,245e-004;1,579e-002;5,705e-004;2,423e-004;6,004e-005;1,532e-002;2,877e-002;1,219e-002;2,036e-002;2,628e-002;2,433e-002;1,915e-002;2,368e-002;4,276e-002;5,622e-002;5,153e-002;4,068e-002
632;3,486e-002;2,422e-002;3,978e-002;3,073e-002;2,965e-002;2,974e-002;2,979e-002;2,987e-002;3,013e-002;3,051e-002;3,085e-002;5,330e-003;1,442e-003;6,481e-004;6,413e-004;3,603e-004;2,853e-004;3,894e-004;1,879e-004;2,041e-004;1,519e-002;5,522e-004;2,210e-004;5,598e-005;1,483e-002;2,893e-002;1,194e-002;2,001e-002;2,586e-002;2,399e-002;1,901e-002;2,320e-002;4,209e-002;5,546e-002;5,093e-002;4,046e-002
634;3,406e-002;2,369e-002;3,952e-002;3,077e-002;2,971e-002;2,982e-002;2,986e-002;2,994e-002;3,019e-002;3,054e-002;3,090e-002;5,296e-003;1,404e-003;6,296e-004;6,223e-004;3,383e-004;2,840e-004;3,841e-004;1,860e-004;2,068e-004;1,461e-002;5,245e-004;2,000e-004;6,184e-005;1,434e-002;2,896e-002;1,169e-002;1,964e-002;2,540e-002;2,361e-002;1,881e-002;2,271e-002;4,137e-002;5,463e-002;5,022e-002;4,013e-002
636;3,325e-002;2,313e-002;3,912e-002;3,066e-002;2,964e-002;2,975e-002;2,980e-002;2,987e-002;3,012e-002;3,048e-002;3,082e-002;5,239e-003;1,359e-003;6,072e-004;6,168e-004;3,308e-004;2,537e-004;3,681e-004;1,690e-004;2,150e-004;1,405e-002;5,009e-004;1,913e-004;5,497e-005;1,386e-002;2,889e-002;1,143e-002;1,924e-002;2,489e-002;2,318e-002;1,855e-002;2,219e-002;4,059e-002;5,369e-002;4,941e-002;3,969e-002
638;3,230e-002;2,248e-002;3,856e-002;3,045e-002;2,943e-002;2,956e-002;2,957e-002;2,963e-002;2,990e-002;3,024e-002;3,058e-002;5,183e-003;1,326e-003;5,662e-004;5,625e-004;3,433e-004;2,422e-004;3,562e-004;1,590e-004;2,157e-004;1,346e-002;4,746e-004;1,840e-004;4,020e-005;1,334e-002;2,866e-002;1,112e-002;1,875e-002;2,431e-002;2,267e-002;1,823e-002;2,158e-002;3,966e-002;5,254e-002;4,843e-002;3,907e-002
640;3,139e-002;2,187e-002;3,791e-002;3,005e-002;2,910e-002;2,923e-002;2,927e-002;2,931e-002;2,956e-002;2,991e-002;3,025e-002;5,072e-003;1,296e-003;5,585e-004;5,616e-004;3,292e-004;2,312e-004;3,256e-004;1,434e-004;2,147e-004;1,294e-002;4,500e-004;1,616e-004;3,365e-005;1,284e-002;2,832e-002;1,079e-002;1,827e-002;2,370e-002;2,214e-002;1,785e-002;2,097e-002;3,869e-002;5,132e-002;4,735e-002;3,835e-002
642;3,051e-002;2,126e-002;3,724e-002;2,966e-002;2,874e-002;2,887e-002;2,890e-002;2,895e-002;2,919e-002;2,952e-002;2,985e-002;4,993e-003;1,256e-003;5,216e-004;5,309e-004;2,940e-004;2,159e-004;3,317e-004;1,574e-004;2,003e-004;1,246e-002;4,316e-004;1,366e-004;3,726e-005;1,241e-002;2,794e-002;1,051e-002;1,782e-002;2,312e-002;2,161e-002;1,750e-002;2,044e-002;3,777e-002;5,018e-002;4,634e-002;3,765e-002
644;2,966e-002;2,068e-002;3,654e-002;2,918e-002;2,829e-002;2,841e-002;2,846e-002;2,851e-002;2,876e-002;2,904e-002;2,938e-002;4,896e-003;1,192e-003;4,839e-004;5,094e-004;2,730e-004;1,911e-004;3,165e-004;1,383e-004;1,791e-004;1,200e-002;4,187e-004;1,091e-004;2,099e-005;1,200e-002;2,752e-002;1,022e-002;1,734e-002;2,254e-002;2,107e-002;1,711e-002;1,987e-002;3,683e-002;4,901e-002;4,528e-002;3,689e-002
646;2,879e-002;2,006e-002;3,575e-002;2,864e-002;2,780e-002;2,791e-002;2,795e-002;2,798e-002;2,821e-002;2,853e-002;2,884e-002;4,786e-003;1,146e-003;4,428e-004;4,836e-004;2,377e-004;1,771e-004;2,976e-004;1,226e-004;1,846e-004;1,155e-002;3,881e-004;1,016e-004;1,814e-005;1,155e-002;2,700e-002;9,946e-003;1,687e-002;2,192e-002;2,051e-002;1,669e-002;1,930e-002;3,589e-002;4,778e-002;4,417e-002;3,608e-002
648;2,778e-002;1,936e-002;3,474e-002;2,796e-002;2,716e-002;2,725e-002;2,728e-002;2,733e-002;2,756e-002;2,782e-002;2,813e-002;4,654e-003;1,101e-003;4,377e-004;4,419e-004;2,299e-004;1,671e-004;2,570e-004;1,297e-004;1,555e-004;1,110e-002;3,649e-004;8,359e-005;1,225e-005;1,110e-002;2,635e-002;9,593e-003;1,631e-002;2,119e-002;1,987e-002;1,621e-002;1,864e-002;3,474e-002;4,629e-002;4,282e-002;3,505e-002
650;2,688e-002;1,876e-002;3,383e-002;2,728e-002;2,647e-002;2,656e-002;2,662e-002;2,666e-002;2,688e-002;2,715e-002;2,745e-002;4,532e-003;1,060e-003;4,023e-004;4,227e-004;2,232e-004;1,438e-004;2,260e-004;9,346e-005;1,550e-004;1,067e-002;3,301e-004;6,004e-005;3,685e-006;1,069e-002;2,570e-002;9,272e-003;1,581e-002;2,054e-002;1,926e-002;1,574e-002;1,803e-002;3,369e-002;4,493e-002;4,157e-002;3,409e-002
652;2,600e-002;1,814e-002;3,289e-002;2,656e-002;2,581e-002;2,591e-002;2,595e-002;2,600e-002;2,618e-002;2,645e-002;2,674e-002;4,382e-003;1,015e-003;3,751e-004;4,014e-004;1,957e-004;1,129e-004;2,030e-004;9,055e-005;1,176e-004;1,027e-002;3,117e-004;4,879e-005;5,377e-006;1,029e-002;2,504e-002;8,983e-003;1,530e-002;1,989e-002;1,867e-002;1,529e-002;1,745e-002;3,265e-002;4,362e-002;4,034e-002;3,313e-002
654;2,512e-002;1,753e-002;3,189e-002;2,581e-002;2,509e-002;2,519e-002;2,522e-002;2,530e-002;2,549e-002;2,571e-002;2,597e-002;4,236e-003;9,606e-004;3,560e-004;3,726e-004;1,733e-004;9,994e-005;1,822e-004;9,381e-005;9,456e-005;9,885e-003;2,829e-004;2,426e-005;7,658e-007;9,895e-003;2,434e-002;8,689e-003;1,480e-002;1,924e-002;1,806e-002;1,483e-002;1,687e-002;3,162e-002;4,226e-002;3,910e-002;3,215e-002
656;2,425e-002;1,691e-002;3,089e-002;2,501e-002;2,433e-002;2,444e-002;2,446e-002;2,455e-002;2,471e-002;2,494e-002;2,520e-002;4,074e-003;9,251e-004;2,996e-004;3,317e-004;1,502e-004;8,348e-005;1,519e-004;8,895e-005;9,263e-005;9,492e-003;2,707e-004;8,480e-006;7,535e-007;9,503e-003;2,359e-002;8,370e-003;1,429e-002;1,857e-002;1,743e-002;1,432e-002;1,627e-002;3,054e-002;4,084e-002;3,780e-002;3,110e-002
658;2,322e-002;1,621e-002;2,975e-002;2,409e-002;2,345e-002;2,352e-002;2,359e-002;2,362e-002;2,381e-002;2,403e-002;2,425e-002;3,914e-003;8,775e-004;2,796e-004;3,135e-004;1,060e-004;7,831e-005;9,442e-005;5,945e-005;7,445e-005;9,050e-003;2,209e-004;4,915e-026;4,915e-026;9,090e-003;2,271e-002;8,020e-003;1,372e-002;1,781e-002;1,673e-002;1,377e-002;1,558e-002;2,933e-002;3,926e-002;3,635e-002;2,994e-002
660;2,238e-002;1,560e-002;2,869e-002;2,331e-002;2,269e-002;2,276e-002;2,282e-002;2,283e-002;2,302e-002;2,320e-002;2,345e-002;3,759e-003;8,481e-004;2,413e-004;2,700e-004;7,448e-005;4,629e-005;1,315e-004;5,462e-005;5,809e-005;8,712e-003;1,954e-004;5,003e-026;3,187e-007;8,727e-003;2,196e-002;7,732e-003;1,320e-002;1,717e-002;1,614e-002;1,329e-002;1,501e-002;2,829e-002;3,789e-002;3,508e-002;2,890e-002
662;2,154e-002;1,500e-002;2,766e-002;2,250e-002;2,191e-002;2,197e-002;2,203e-002;2,208e-002;2,221e-002;2,238e-002;2,263e-002;3,604e-003;7,879e-004;2,239e-004;2,576e-004;7,634e-005;2,144e-005;8,720e-005;4,994e-005;3,166e-005;8,373e-003;1,663e-004;5,094e-026;8,252e-007;8,376e-003;2,119e-002;7,417e-003;1,272e-002;1,653e-002;1,553e-002;1,280e-002;1,445e-002;2,724e-002;3,652e-002;3,381e-002;2,785e-002
664;2,068e-002;1,444e-002;2,662e-002;2,165e-002;2,109e-002;2,115e-002;2,120e-002;2,126e-002;2,138e-002;2,157e-002;2,176e-002;3,414e-003;7,406e-004;1,949e-004;2,349e-004;5,934e-005;5,184e-026;5,333e-005;1,295e-005;2,389e-005;8,028e-003;1,359e-004;5,184e-026;2,072e-007;8,032e-003;2,042e-002;7,110e-003;1,222e-002;1,589e-002;1,494e-002;1,232e-002;1,387e-002;2,621e-002;3,514e-002;3,253e-002;2,681e-002
666;1,974e-002;1,376e-002;2,546e-002;2,074e-002;2,017e-002;2,021e-002;2,032e-002;2,035e-002;2,049e-002;2,065e-002;2,084e-002;3,237e-003;7,235e-004;2,024e-004;1,835e-004;3,705e-005;5,280e-026;3,509e-005;1,542e-005;1,606e-005;7,671e-003;9,629e-005;5,280e-026;5,280e-026;7,656e-003;1,954e-002;6,779e-003;1,167e-002;1,518e-002;1,427e-002;1,178e-002;1,325e-002;2,506e-002;3,364e-002;3,114e-002;2,565e-002
668;1,891e-002;1,317e-002;2,438e-002;1,981e-002;1,936e-002;1,936e-002;1,946e-002;1,950e-002;1,963e-002;1,976e-002;1,993e-002;3,058e-003;6,599e-004;1,333e-004;1,925e-004;5,377e-026;5,377e-026;5,377e-026;5,377e-026;5,377e-026;7,328e-003;6,857e-005;5,377e-026;5,377e-026;7,317e-003;1,872e-002;6,480e-003;1,117e-002;1,452e-002;1,366e-002;1,125e-002;1,266e-002;2,398e-002;3,222e-002;2,980e-002;2,454e-002
670;1,810e-002;1,264e-002;2,341e-002;1,900e-002;1,855e-002;1,860e-002;1,865e-002;1,870e-002;1,880e-002;1,896e-002;1,910e-002;2,943e-003;5,847e-004;9,127e-005;1,440e-004;5,474e-026;5,474e-026;5,474e-026;5,474e-026;5,474e-026;7,046e-003;4,269e-005;5,474e-026;5,474e-026;7,006e-003;1,795e-002;6,205e-003;1,070e-002;1,392e-002;1,306e-002;1,077e-002;1,213e-002;2,302e-002;3,090e-002;2,859e-002;2,353e-002
672;1,731e-002;1,207e-002;2,240e-002;1,822e-002;1,773e-002;1,779e-002;1,785e-002;1,790e-002;1,799e-002;1,814e-002;1,826e-002;2,783e-003;5,407e-004;4,489e-005;1,257e-004;5,570e-026;5,570e-026;5,570e-026;5,570e-026;5,570e-026;6,741e-003;1,262e-005;5,570e-026;5,570e-026;6,700e-003;1,718e-002;5,916e-003;1,023e-002;1,332e-002;1,250e-002;1,029e-002;1,159e-002;2,203e-002;2,961e-002;2,737e-002;2,253e-002
674;1,655e-002;1,151e-002;2,139e-002;1,743e-002;1,693e-002;1,697e-002;1,704e-002;1,706e-002;1,719e-002;1,731e-002;1,744e-002;2,629e-003;5,162e-004;5,454e-005;8,573e-005;5,667e-026;5,667e-026;5,667e-026;5,667e-026;5,667e-026;6,440e-003;2,075e-007;5,667e-026;5,667e-026;6,396e-003;1,637e-002;5,632e-003;9,755e-003;1,269e-002;1,192e-002;9,815e-003;1,106e-002;2,104e-002;2,826e-002;2,613e-002;2,151e-002
676;1,569e-002;1,088e-002;2,027e-002;1,645e-002;1,607e-002;1,607e-002;1,617e-002;1,621e-002;1,629e-002;1,637e-002;1,652e-002;2,434e-003;4,340e-004;5,777e-026;7,106e-005;5,777e-026;5,777e-026;5,777e-026;5,777e-026;5,777e-026;6,117e-003;5,777e-026;5,777e-026;5,777e-026;6,050e-003;1,553e-002;5,330e-003;9,238e-003;1,205e-002;1,130e-002;9,297e-003;1,049e-002;1,993e-002;2,684e-002;2,480e-002;2,038e-002
678;1,497e-002;1,040e-002;1,929e-002;1,572e-002;1,535e-002;1,534e-002;1,540e-002;1,546e-002;1,549e-002;1,558e-002;1,570e-002;2,283e-003;3,907e-004;5,881e-026;4,689e-005;5,881e-026;5,881e-026;5,881e-026;5,881e-026;5,881e-026;5,840e-003;5,881e-026;5,881e-026;5,881e-026;5,771e-003;1,479e-002;5,080e-003;8,829e-003;1,148e-002;1,076e-002;8,861e-003;9,997e-003;1,905e-002;2,565e-002;2,367e-002;1,945e-002
680;1,429e-002;9,898e-003;1,840e-002;1,498e-002;1,462e-002;1,461e-002;1,469e-002;1,473e-002;1,479e-002;1,490e-002;1,493e-002;2,120e-003;3,585e-004;5,993e-026;2,698e-005;5,993e-026;5,993e-026;5,993e-026;5,993e-026;5,993e-026;5,588e-003;5,993e-026;5,993e-026;5,993e-026;5,511e-003;1,410e-002;4,814e-003;8,410e-003;1,095e-002;1,026e-002;8,450e-003;9,536e-003;1,818e-002;2,448e-002;2,261e-002;1,854e-002
682;1,363e-002;9,430e-003;1,749e-002;1,425e-002;1,392e-002;1,386e-002;1,394e-002;1,400e-002;1,408e-002;1,419e-002;1,417e-002;1,968e-003;2,831e-004;6,107e-026;1,900e-005;6,107e-026;6,107e-026;6,107e-026;6,107e-026;6,107e-026;5,364e-003;6,107e-026;6,107e-026;6,107e-026;5,238e-003;1,340e-002;4,556e-003;7,989e-003;1,041e-002;9,751e-003;8,002e-003;9,058e-003;1,732e-002;2,332e-002;2,153e-002;1,763e-002
684;1,290e-002;8,922e-003;1,655e-002;1,347e-002;1,311e-002;1,307e-002;1,317e-002;1,323e-002;1,331e-002;1,332e-002;1,336e-002;1,821e-003;2,260e-004;6,236e-026;9,038e-006;6,236e-026;6,236e-026;6,236e-026;6,236e-026;6,236e-026;5,066e-003;6,236e-026;6,236e-026;6,236e-026;4,976e-003;1,263e-002;4,274e-003;7,558e-003;9,846e-003;9,237e-003;7,564e-003;8,524e-003;1,640e-002;2,209e-002;2,037e-002;1,664e-002
686;1,224e-002;8,491e-003;1,568e-002;1,274e-002;1,238e-002;1,240e-002;1,246e-002;1,252e-002;1,259e-002;1,261e-002;1,260e-002;1,692e-003;1,535e-004;6,362e-026;6,362e-026;6,362e-026;6,362e-026;6,362e-026;6,362e-026;6,362e-026;4,833e-003;6,362e-026;6,362e-026;6,362e-026;4,721e-003;1,194e-002;4,042e-003;7,157e-003;9,349e-003;8,755e-003;7,167e-003;8,088e-003;1,555e-002;2,098e-002;1,933e-002;1,576e-002
688;1,163e-002;8,046e-003;1,488e-002;1,210e-002;1,178e-002;1,174e-002;1,180e-002;1,186e-002;1,193e-002;1,193e-002;1,191e-002;1,558e-003;9,962e-005;6,493e-026;6,493e-026;6,493e-026;6,493e-026;6,493e-026;6,493e-026;6,493e-026;4,601e-003;6,493e-026;6,493e-026;6,493e-026;4,491e-003;1,134e-002;3,823e-003;6,796e-003;8,872e-003;8,330e-003;6,779e-003;7,674e-003;1,478e-002;1,997e-002;1,838e-002;1,499e-002
690;1,104e-002;7,635e-003;1,411e-002;1,143e-002;1,113e-002;1,112e-002;1,121e-002;1,122e-002;1,130e-002;1,130e-002;1,125e-002;1,401e-003;7,488e-005;6,629e-026;6,629e-026;6,629e-026;6,629e-026;6,629e-026;6,629e-026;6,629e-026;4,416e-003;6,629e-026;6,629e-026;6,629e-026;4,281e-003;1,072e-002;3,607e-003;6,455e-003;8,425e-003;7,903e-003;6,429e-003;7,257e-003;1,404e-002;1,898e-002;1,746e-002;1,421e-002
692;1,046e-002;7,235e-003;1,332e-002;1,079e-002;1,046e-002;1,044e-002;1,055e-002;1,059e-002;1,060e-002;1,069e-002;1,054e-002;1,257e-003;2,645e-005;6,779e-026;6,779e-026;6,779e-026;6,779e-026;6,779e-026;6,779e-026;6,779e-026;4,172e-003;6,779e-026;6,779e-026;6,779e-026;4,052e-003;1,009e-002;3,406e-003;6,121e-003;7,974e-003;7,436e-003;6,037e-003;6,855e-003;1,328e-002;1,791e-002;1,650e-002;1,342e-002
694;9,858e-003;6,792e-003;1,255e-002;1,015e-002;9,858e-003;9,882e-003;9,906e-003;9,962e-003;1,001e-002;1,000e-002;9,872e-003;1,109e-003;6,937e-026;6,937e-026;6,937e-026;6,937e-026;6,937e-026;6,937e-026;6,937e-026;6,937e-026;3,934e-003;6,937e-026;6,937e-026;6,937e-026;3,840e-003;9,487e-003;3,175e-003;5,753e-003;7,530e-003;7,023e-003;5,686e-003;6,423e-003;1,252e-002;1,693e-002;1,558e-002;1,262e-002
696;9,346e-003;6,412e-003;1,189e-002;9,611e-003;9,302e-003;9,251e-003;9,339e-003;9,386e-003;9,458e-003;9,410e-003;9,278e-003;9,820e-004;7,086e-026;7,086e-026;7,086e-026;7,086e-026;7,086e-026;7,086e-026;7,086e-026;7,086e-026;3,772e-003;7,086e-026;7,086e-026;7,086e-026;3,638e-003;8,936e-003;2,973e-003;5,437e-003;7,131e-003;6,669e-003;5,367e-003;6,058e-003;1,183e-002;1,606e-002;1,476e-002;1,196e-002
698;8,838e-003;6,086e-003;1,122e-002;9,083e-003;8,765e-003;8,733e-003;8,819e-003;8,843e-003;8,933e-003;8,864e-003;8,690e-003;8,914e-004;7,241e-026;7,241e-026;7,241e-026;7,241e-026;7,241e-026;7,241e-026;7,241e-026;7,241e-026;3,587e-003;7,241e-026;7,241e-026;7,241e-026;3,469e-003;8,413e-003;2,788e-003;5,168e-003;6,764e-003;6,310e-003;5,054e-003;5,722e-003;1,122e-002;1,520e-002;1,397e-002;1,130e-002
