;O Clear;O 181 Congo R;O 71 Tokyo Blue R;O 120 Deep Blue R;O 119 Dark Blue R;O 115 Peacock R;O 090 Dark Y G R;O 139 P Green R;O 101 Yellow R;O 158 Deep Orange R;O 022 Dark Amber R;O 019 Fire R;O 106 P Red R;O 126 Mauve R;O 170 Deep Lav R;O 137 Special Lav R;O 117 Steel Blue R;O 088 Lime Green R;O 156 Chocoloate R;O 652 U Sodium R;O 111 Dark Pink R;O 200 Double CTB R;O 204 Full CTO R;O 180 Dark Lav R;O 174 Dark Steel B R
732;2,40E-04;1,48E-04;5,35E-05;1,37E-04;1,10E-04;6,64E-05;3,43E-05;6,75E-06;2,24E-04;2,27E-04;2,29E-04;2,27E-04;2,16E-04;2,19E-04;2,21E-04;2,14E-04;1,74E-04;2,02E-04;2,09E-04;2,03E-04;2,33E-04;1,36E-04;2,24E-04;2,20E-04;2,17E-04
734;2,25E-04;1,36E-04;5,12E-05;1,34E-04;1,06E-04;6,69E-05;3,43E-05;9,76E-06;2,08E-04;2,13E-04;2,17E-04;2,13E-04;2,05E-04;2,06E-04;2,11E-04;2,02E-04;1,64E-04;1,95E-04;1,97E-04;1,91E-04;2,19E-04;1,32E-04;2,08E-04;2,07E-04;2,05E-04
736;2,09E-04;1,34E-04;5,17E-05;1,30E-04;1,02E-04;6,65E-05;3,63E-05;1,17E-05;1,94E-04;2,01E-04;2,02E-04;2,00E-04;1,93E-04;1,91E-04;1,96E-04;1,90E-04;1,54E-04;1,82E-04;1,87E-04;1,82E-04;2,06E-04;1,26E-04;1,99E-04;1,93E-04;1,91E-04
738;1,97E-04;1,29E-04;5,49E-05;1,26E-04;1,01E-04;6,48E-05;3,85E-05;1,51E-05;1,85E-04;1,90E-04;1,88E-04;1,91E-04;1,82E-04;1,79E-04;1,85E-04;1,78E-04;1,44E-04;1,75E-04;1,79E-04;1,75E-04;1,93E-04;1,18E-04;1,92E-04;1,78E-04;1,76E-04
740;1,83E-04;1,25E-04;5,29E-05;1,22E-04;9,75E-05;6,54E-05;4,12E-05;1,78E-05;1,66E-04;1,77E-04;1,77E-04;1,82E-04;1,74E-04;1,67E-04;1,77E-04;1,69E-04;1,39E-04;1,69E-04;1,69E-04;1,71E-04;1,86E-04;1,13E-04;1,81E-04;1,66E-04;1,65E-04
742;1,67E-04;1,14E-04;5,23E-05;1,11E-04;9,25E-05;6,11E-05;4,40E-05;1,89E-05;1,52E-04;1,66E-04;1,72E-04;1,69E-04;1,61E-04;1,58E-04;1,67E-04;1,59E-04;1,26E-04;1,58E-04;1,58E-04;1,58E-04;1,75E-04;1,04E-04;1,66E-04;1,53E-04;1,54E-04
744;1,59E-04;1,12E-04;4,86E-05;1,08E-04;8,64E-05;6,10E-05;3,80E-05;2,01E-05;1,47E-04;1,55E-04;1,58E-04;1,60E-04;1,50E-04;1,46E-04;1,55E-04;1,50E-04;1,21E-04;1,50E-04;1,54E-04;1,50E-04;1,67E-04;9,91E-05;1,61E-04;1,41E-04;1,41E-04
746;1,48E-04;1,09E-04;4,75E-05;1,03E-04;8,19E-05;5,87E-05;4,20E-05;2,27E-05;1,34E-04;1,44E-04;1,47E-04;1,51E-04;1,45E-04;1,38E-04;1,43E-04;1,43E-04;1,14E-04;1,40E-04;1,44E-04;1,42E-04;1,61E-04;9,61E-05;1,54E-04;1,30E-04;1,34E-04
748;1,38E-04;1,02E-04;5,03E-05;9,89E-05;8,08E-05;5,68E-05;4,26E-05;2,54E-05;1,25E-04;1,34E-04;1,38E-04;1,43E-04;1,38E-04;1,30E-04;1,35E-04;1,35E-04;1,08E-04;1,29E-04;1,41E-04;1,37E-04;1,51E-04;8,52E-05;1,48E-04;1,22E-04;1,24E-04
750;1,30E-04;9,39E-05;4,66E-05;9,18E-05;7,65E-05;5,88E-05;4,33E-05;3,31E-05;1,19E-04;1,26E-04;1,30E-04;1,40E-04;1,24E-04;1,15E-04;1,30E-04;1,17E-04;1,01E-04;1,24E-04;1,38E-04;1,32E-04;1,39E-04;7,77E-05;1,40E-04;1,14E-04;1,09E-04
752;1,18E-04;9,17E-05;4,85E-05;8,62E-05;7,20E-05;5,70E-05;3,64E-05;3,13E-05;1,12E-04;1,20E-04;1,20E-04;1,29E-04;1,20E-04;1,07E-04;1,17E-04;1,12E-04;9,49E-05;1,17E-04;1,28E-04;1,28E-04;1,37E-04;7,89E-05;1,36E-04;1,05E-04;1,04E-04
754;1,09E-04;8,53E-05;4,69E-05;8,43E-05;6,99E-05;5,17E-05;3,70E-05;3,11E-05;1,00E-04;1,11E-04;1,16E-04;1,20E-04;1,12E-04;9,88E-05;1,07E-04;1,11E-04;9,02E-05;1,12E-04;1,17E-04;1,21E-04;1,29E-04;7,29E-05;1,33E-04;9,35E-05;9,33E-05
756;1,02E-04;8,40E-05;4,36E-05;7,44E-05;5,95E-05;5,09E-05;4,24E-05;3,38E-05;9,09E-05;1,01E-04;1,04E-04;1,15E-04;1,06E-04;9,37E-05;9,80E-05;1,05E-04;8,24E-05;1,05E-04;1,14E-04;1,17E-04;1,23E-04;6,67E-05;1,24E-04;8,80E-05;8,04E-05
758;8,93E-05;7,86E-05;4,11E-05;6,95E-05;6,13E-05;4,12E-05;4,07E-05;3,86E-05;7,96E-05;8,92E-05;9,78E-05;9,99E-05;1,03E-04;8,57E-05;9,15E-05;8,96E-05;7,28E-05;8,99E-05;1,02E-04;1,04E-04;1,14E-04;6,05E-05;1,20E-04;7,36E-05;7,94E-05
760;7,99E-05;7,83E-05;4,23E-05;6,18E-05;5,48E-05;3,78E-05;3,35E-05;3,50E-05;6,77E-05;8,43E-05;8,23E-05;8,96E-05;9,16E-05;7,57E-05;7,44E-05;8,13E-05;6,09E-05;8,40E-05;9,63E-05;1,05E-04;1,07E-04;5,65E-05;1,12E-04;6,52E-05;6,45E-05
762;7,22E-05;7,64E-05;3,34E-05;5,61E-05;4,45E-05;3,67E-05;3,00E-05;3,54E-05;6,29E-05;7,57E-05;8,36E-05;8,50E-05;8,55E-05;7,48E-05;7,26E-05;7,11E-05;5,80E-05;7,93E-05;8,81E-05;9,56E-05;9,65E-05;4,94E-05;1,06E-04;5,98E-05;6,01E-05
764;6,14E-05;7,44E-05;3,55E-05;4,98E-05;3,95E-05;3,54E-05;3,16E-05;4,20E-05;4,99E-05;7,40E-05;7,22E-05;7,30E-05;8,13E-05;7,35E-05;6,17E-05;6,51E-05;4,90E-05;6,51E-05;8,36E-05;9,30E-05;9,13E-05;4,33E-05;1,06E-04;5,32E-05;4,84E-05
766;6,00E-05;7,22E-05;3,06E-05;4,53E-05;4,33E-05;3,35E-05;3,12E-05;4,18E-05;4,19E-05;6,40E-05;6,82E-05;7,33E-05;7,65E-05;6,51E-05;6,15E-05;5,65E-05;4,48E-05;6,10E-05;8,35E-05;8,69E-05;8,69E-05;4,19E-05;1,02E-04;4,75E-05;3,63E-05
768;5,17E-05;6,88E-05;3,17E-05;3,60E-05;3,14E-05;2,45E-05;1,62E-05;4,13E-05;2,78E-05;5,81E-05;6,16E-05;6,32E-05;7,29E-05;6,52E-05;5,36E-05;5,03E-05;3,49E-05;5,71E-05;7,31E-05;7,70E-05;8,18E-05;3,37E-05;9,67E-05;3,79E-05;3,35E-05
770;4,41E-05;6,30E-05;2,90E-05;3,24E-05;3,01E-05;1,93E-05;7,88E-06;3,88E-05;2,89E-05;5,03E-05;5,22E-05;5,38E-05;6,10E-05;5,48E-05;4,75E-05;4,60E-05;3,33E-05;4,39E-05;6,42E-05;7,13E-05;6,57E-05;2,26E-05;8,74E-05;2,22E-05;2,56E-05
772;3,67E-05;6,64E-05;2,77E-05;2,82E-05;2,79E-05;2,33E-05;1,32E-05;4,41E-05;2,42E-05;4,47E-05;4,69E-05;4,98E-05;5,95E-05;5,20E-05;3,34E-05;3,24E-05;2,73E-05;2,66E-05;6,36E-05;6,55E-05;5,91E-05;2,37E-05;8,44E-05;2,42E-05;1,02E-05
774;2,64E-05;7,17E-05;2,34E-05;2,68E-05;2,81E-05;1,66E-05;1,87E-05;3,94E-05;1,23E-05;4,22E-05;3,78E-05;5,29E-05;5,27E-05;5,04E-05;2,80E-05;1,99E-05;2,48E-05;2,44E-05;5,86E-05;5,46E-05;4,59E-05;1,07E-05;8,46E-05;2,69E-05;5,47E-06
776;1,37E-05;6,41E-05;1,72E-05;3,15E-05;1,38E-05;4,59E-06;9,58E-07;3,59E-05;3,11E-06;3,78E-05;3,14E-05;4,14E-05;4,89E-05;4,82E-05;2,98E-05;1,07E-05;1,10E-05;2,35E-05;5,66E-05;4,65E-05;4,14E-05;1,32E-05;7,75E-05;1,26E-05;6,20E-06
778;6,00E-06;5,86E-05;5,53E-06;1,98E-05;9,11E-06;3,31E-06;1,67E-26;4,62E-05;7,52E-06;3,02E-05;2,52E-05;3,11E-05;5,04E-05;3,69E-05;1,35E-05;1,58E-06;1,28E-07;1,22E-05;5,63E-05;4,28E-05;3,23E-05;3,38E-06;6,91E-05;9,11E-06;2,18E-06
780;5,61E-08;6,00E-05;9,85E-06;2,09E-05;2,25E-06;9,85E-06;1,79E-26;4,07E-05;1,43E-07;1,51E-05;1,76E-05;2,40E-05;3,42E-05;3,77E-05;6,88E-06;1,79E-26;4,81E-07;1,44E-07;5,49E-05;4,34E-05;1,79E-05;1,79E-26;5,92E-05;1,94E-05;1,79E-26
