;O Clear;O 181 Congo R;O 71 Tokyo Blue R;O 120 Deep Blue R;O 119 Dark Blue R;O 115 Peacock R;O 090 Dark Y G R;O 139 P Green R;O 101 Yellow R;O 158 Deep Orange R;O 022 Dark Amber R;O 019 Fire R;O 106 P Red R;O 126 Mauve R;O 170 Deep Lav R;O 137 Special Lav R;O 117 Steel Blue R;O 088 Lime Green R;O 156 Chocoloate R;O 652 U Sodium R;O 111 Dark Pink R;O 200 Double CTB R;O 204 Full CTO R;O 180 Dark Lav R;O 174 Dark Steel B R
486;2,93E-03;1,39E-04;1,43E-04;4,39E-04;8,15E-04;2,11E-03;2,20E-04;8,23E-05;4,38E-04;1,54E-07;1,61E-08;2,87E-05;1,59E-08;2,31E-04;1,21E-03;1,92E-03;2,51E-03;1,74E-03;3,04E-04;2,91E-04;8,40E-04;1,53E-03;9,00E-04;1,06E-03;2,05E-03
488;3,17E-03;1,31E-04;1,32E-04;4,28E-04;8,35E-04;2,30E-03;2,78E-04;1,14E-04;5,77E-04;4,96E-07;7,63E-08;3,17E-05;7,62E-08;2,18E-04;1,28E-03;2,03E-03;2,70E-03;2,02E-03;3,36E-04;3,21E-04;8,84E-04;1,63E-03;1,01E-03;1,09E-03;2,19E-03
490;3,35E-03;1,20E-04;1,19E-04;4,07E-04;8,35E-04;2,46E-03;3,40E-04;1,53E-04;7,25E-04;1,26E-06;7,70E-07;3,48E-05;7,21E-08;2,01E-04;1,33E-03;2,11E-03;2,85E-03;2,27E-03;3,66E-04;3,44E-04;9,13E-04;1,70E-03;1,10E-03;1,08E-03;2,29E-03
492;3,48E-03;1,07E-04;1,03E-04;3,76E-04;8,13E-04;2,58E-03;4,05E-04;1,97E-04;8,74E-04;1,29E-06;1,09E-06;3,80E-05;4,35E-07;1,79E-04;1,36E-03;2,14E-03;2,93E-03;2,47E-03;3,90E-04;3,59E-04;9,21E-04;1,73E-03;1,18E-03;1,06E-03;2,35E-03
494;3,54E-03;9,26E-05;8,58E-05;3,39E-04;7,73E-04;2,64E-03;4,66E-04;2,45E-04;1,02E-03;1,19E-06;1,54E-06;3,88E-05;9,22E-08;1,56E-04;1,35E-03;2,13E-03;2,95E-03;2,61E-03;4,10E-04;3,63E-04;9,09E-04;1,71E-03;1,23E-03;1,00E-03;2,36E-03
496;3,51E-03;7,47E-05;6,78E-05;2,92E-04;7,07E-04;2,65E-03;5,23E-04;3,00E-04;1,15E-03;2,11E-06;2,64E-06;4,02E-05;1,44E-27;1,29E-04;1,31E-03;2,05E-03;2,90E-03;2,67E-03;4,20E-04;3,57E-04;8,70E-04;1,65E-03;1,26E-03;9,19E-04;2,32E-03
498;3,42E-03;6,11E-05;5,22E-05;2,50E-04;6,37E-04;2,61E-03;5,68E-04;3,52E-04;1,25E-03;3,00E-06;3,29E-06;4,08E-05;1,42E-27;1,05E-04;1,25E-03;1,95E-03;2,80E-03;2,67E-03;4,25E-04;3,45E-04;8,21E-04;1,56E-03;1,26E-03;8,32E-04;2,25E-03
500;3,32E-03;4,81E-05;3,96E-05;2,12E-04;5,70E-04;2,54E-03;6,06E-04;4,02E-04;1,34E-03;4,22E-06;3,98E-06;4,05E-05;1,40E-27;8,35E-05;1,19E-03;1,84E-03;2,70E-03;2,64E-03;4,30E-04;3,30E-04;7,68E-04;1,45E-03;1,26E-03;7,46E-04;2,16E-03
502;3,21E-03;3,73E-05;3,03E-05;1,77E-04;5,06E-04;2,46E-03;6,40E-04;4,53E-04;1,41E-03;4,77E-06;5,00E-06;4,06E-05;1,38E-27;6,60E-05;1,12E-03;1,73E-03;2,59E-03;2,58E-03;4,34E-04;3,14E-04;7,14E-04;1,34E-03;1,25E-03;6,65E-04;2,07E-03
504;3,11E-03;2,86E-05;2,19E-05;1,49E-04;4,50E-04;2,39E-03;6,72E-04;5,04E-04;1,48E-03;6,17E-06;6,01E-06;3,97E-05;1,36E-27;5,05E-05;1,06E-03;1,62E-03;2,50E-03;2,53E-03;4,42E-04;3,00E-04;6,65E-04;1,24E-03;1,24E-03;5,92E-04;1,98E-03
506;3,03E-03;2,14E-05;1,62E-05;1,24E-04;4,01E-04;2,33E-03;7,03E-04;5,59E-04;1,55E-03;7,27E-06;7,54E-06;4,02E-05;1,34E-27;3,85E-05;1,01E-03;1,53E-03;2,44E-03;2,50E-03;4,54E-04;2,90E-04;6,22E-04;1,15E-03;1,24E-03;5,30E-04;1,90E-03
508;2,98E-03;1,64E-05;1,08E-05;1,03E-04;3,55E-04;2,28E-03;7,33E-04;6,19E-04;1,62E-03;8,34E-06;8,44E-06;3,97E-05;1,32E-27;2,88E-05;9,58E-04;1,45E-03;2,39E-03;2,48E-03;4,71E-04;2,79E-04;5,83E-04;1,07E-03;1,25E-03;4,72E-04;1,83E-03
510;2,94E-03;1,18E-05;8,73E-06;8,49E-05;3,16E-04;2,24E-03;7,64E-04;6,79E-04;1,70E-03;1,09E-05;9,02E-06;4,05E-05;1,29E-27;2,07E-05;9,18E-04;1,38E-03;2,36E-03;2,48E-03;4,92E-04;2,73E-04;5,51E-04;9,99E-04;1,26E-03;4,25E-04;1,76E-03
512;2,93E-03;8,76E-06;6,35E-06;7,07E-05;2,84E-04;2,22E-03;7,91E-04;7,38E-04;1,77E-03;1,29E-05;1,09E-05;4,14E-05;1,27E-27;1,56E-05;8,86E-04;1,33E-03;2,35E-03;2,50E-03;5,16E-04;2,67E-04;5,27E-04;9,44E-04;1,28E-03;3,86E-04;1,70E-03
514;2,92E-03;6,55E-06;5,10E-06;5,78E-05;2,52E-04;2,19E-03;8,13E-04;7,90E-04;1,84E-03;1,50E-05;1,31E-05;4,24E-05;1,25E-27;1,14E-05;8,54E-04;1,27E-03;2,34E-03;2,51E-03;5,39E-04;2,62E-04;5,07E-04;8,93E-04;1,30E-03;3,51E-04;1,64E-03
516;2,90E-03;4,34E-06;3,34E-06;4,66E-05;2,23E-04;2,16E-03;8,29E-04;8,36E-04;1,89E-03;1,83E-05;1,50E-05;4,35E-05;1,23E-27;8,06E-06;8,23E-04;1,21E-03;2,32E-03;2,52E-03;5,64E-04;2,58E-04;4,88E-04;8,44E-04;1,31E-03;3,19E-04;1,58E-03
518;2,89E-03;3,71E-06;2,72E-06;3,73E-05;1,94E-04;2,13E-03;8,40E-04;8,74E-04;1,94E-03;2,14E-05;1,81E-05;4,42E-05;2,98E-07;6,05E-06;7,93E-04;1,16E-03;2,29E-03;2,53E-03;5,86E-04;2,54E-04;4,73E-04;7,99E-04;1,33E-03;2,90E-04;1,52E-03
520;2,87E-03;3,27E-06;2,01E-06;2,90E-05;1,67E-04;2,08E-03;8,43E-04;9,03E-04;1,99E-03;2,47E-05;2,06E-05;4,57E-05;2,85E-08;4,05E-06;7,60E-04;1,10E-03;2,26E-03;2,52E-03;6,08E-04;2,50E-04;4,58E-04;7,54E-04;1,33E-03;2,62E-04;1,45E-03
522;2,85E-03;2,17E-06;1,41E-06;2,17E-05;1,42E-04;2,03E-03;8,41E-04;9,25E-04;2,03E-03;3,03E-05;2,53E-05;4,68E-05;1,16E-27;2,93E-06;7,30E-04;1,05E-03;2,21E-03;2,50E-03;6,29E-04;2,48E-04;4,48E-04;7,12E-04;1,34E-03;2,37E-04;1,38E-03
524;2,83E-03;1,36E-06;9,61E-07;1,71E-05;1,21E-04;1,99E-03;8,35E-04;9,41E-04;2,06E-03;3,78E-05;3,05E-05;4,82E-05;1,15E-27;1,69E-06;7,04E-04;9,98E-04;2,17E-03;2,49E-03;6,49E-04;2,47E-04;4,41E-04;6,76E-04;1,35E-03;2,16E-04;1,33E-03
526;2,81E-03;7,29E-07;3,32E-07;1,32E-05;1,02E-04;1,95E-03;8,24E-04;9,51E-04;2,09E-03;4,65E-05;3,68E-05;4,98E-05;1,13E-27;1,30E-06;6,80E-04;9,54E-04;2,12E-03;2,47E-03;6,68E-04;2,48E-04;4,37E-04;6,43E-04;1,35E-03;1,97E-04;1,28E-03
528;2,81E-03;3,38E-07;1,99E-07;9,66E-06;8,67E-05;1,90E-03;8,12E-04;9,58E-04;2,13E-03;5,74E-05;4,53E-05;5,17E-05;1,12E-27;1,07E-06;6,61E-04;9,15E-04;2,08E-03;2,45E-03;6,88E-04;2,52E-04;4,35E-04;6,13E-04;1,36E-03;1,80E-04;1,23E-03
530;2,80E-03;1,28E-07;6,77E-08;6,97E-06;7,38E-05;1,87E-03;7,97E-04;9,62E-04;2,16E-03;7,26E-05;5,57E-05;5,31E-05;1,11E-27;3,38E-07;6,44E-04;8,79E-04;2,04E-03;2,43E-03;7,06E-04;2,57E-04;4,34E-04;5,84E-04;1,37E-03;1,65E-04;1,19E-03
532;2,80E-03;7,65E-09;2,16E-08;4,41E-06;6,19E-05;1,82E-03;7,78E-04;9,60E-04;2,20E-03;9,22E-05;6,98E-05;5,46E-05;1,10E-27;3,19E-08;6,27E-04;8,44E-04;2,00E-03;2,42E-03;7,24E-04;2,63E-04;4,34E-04;5,55E-04;1,38E-03;1,50E-04;1,16E-03
534;2,81E-03;1,09E-27;2,39E-07;2,58E-06;5,19E-05;1,78E-03;7,58E-04;9,51E-04;2,24E-03;1,18E-04;8,72E-05;5,58E-05;1,09E-27;2,16E-07;6,13E-04;8,13E-04;1,97E-03;2,41E-03;7,41E-04;2,71E-04;4,34E-04;5,27E-04;1,40E-03;1,38E-04;1,13E-03
536;2,82E-03;3,68E-08;1,09E-27;1,91E-06;4,52E-05;1,75E-03;7,37E-04;9,37E-04;2,28E-03;1,48E-04;1,07E-04;5,55E-05;1,09E-27;1,09E-27;6,01E-04;7,86E-04;1,95E-03;2,42E-03;7,53E-04;2,81E-04;4,33E-04;5,01E-04;1,42E-03;1,27E-04;1,11E-03
538;2,84E-03;5,00E-08;1,08E-27;1,59E-06;3,94E-05;1,72E-03;7,14E-04;9,18E-04;2,32E-03;1,85E-04;1,29E-04;5,51E-05;1,08E-27;1,08E-27;5,90E-04;7,62E-04;1,94E-03;2,43E-03;7,62E-04;2,92E-04;4,31E-04;4,76E-04;1,45E-03;1,17E-04;1,09E-03
540;2,87E-03;1,08E-27;1,08E-27;1,30E-06;3,41E-05;1,68E-03;6,90E-04;8,93E-04;2,36E-03;2,28E-04;1,52E-04;5,36E-05;1,08E-27;1,08E-27;5,80E-04;7,38E-04;1,93E-03;2,45E-03;7,66E-04;3,04E-04;4,28E-04;4,50E-04;1,48E-03;1,07E-04;1,07E-03
542;2,90E-03;1,08E-27;1,08E-27;8,81E-07;3,04E-05;1,64E-03;6,63E-04;8,61E-04;2,40E-03;2,77E-04;1,76E-04;5,25E-05;1,08E-27;1,08E-27;5,68E-04;7,14E-04;1,93E-03;2,48E-03;7,62E-04;3,16E-04;4,22E-04;4,23E-04;1,51E-03;9,94E-05;1,06E-03
544;2,92E-03;3,07E-08;1,08E-27;2,28E-07;2,58E-05;1,59E-03;6,30E-04;8,22E-04;2,44E-03;3,35E-04;2,00E-04;5,03E-05;1,08E-27;1,08E-27;5,56E-04;6,89E-04;1,94E-03;2,50E-03;7,52E-04;3,29E-04;4,13E-04;3,93E-04;1,55E-03;9,17E-05;1,04E-03
546;2,95E-03;2,40E-07;1,08E-27;2,25E-07;2,26E-05;1,54E-03;5,96E-04;7,80E-04;2,48E-03;3,97E-04;2,20E-04;4,73E-05;1,08E-27;1,08E-27;5,41E-04;6,64E-04;1,94E-03;2,53E-03;7,35E-04;3,39E-04;4,03E-04;3,64E-04;1,59E-03;8,47E-05;1,03E-03
548;2,98E-03;1,08E-27;1,08E-27;1,08E-27;1,97E-05;1,47E-03;5,60E-04;7,35E-04;2,51E-03;4,59E-04;2,35E-04;4,40E-05;1,08E-27;1,08E-27;5,27E-04;6,39E-04;1,94E-03;2,55E-03;7,13E-04;3,50E-04;3,92E-04;3,37E-04;1,63E-03;7,81E-05;1,01E-03
550;3,00E-03;1,09E-27;1,09E-27;1,09E-27;1,63E-05;1,41E-03;5,21E-04;6,87E-04;2,55E-03;5,24E-04;2,45E-04;4,07E-05;1,09E-27;1,09E-27;5,11E-04;6,13E-04;1,94E-03;2,57E-03;6,87E-04;3,59E-04;3,81E-04;3,10E-04;1,67E-03;7,23E-05;9,83E-04
552;3,02E-03;1,09E-27;1,09E-27;1,09E-27;1,30E-05;1,33E-03;4,80E-04;6,35E-04;2,57E-03;5,89E-04;2,51E-04;3,63E-05;1,09E-27;1,09E-27;4,94E-04;5,88E-04;1,93E-03;2,57E-03;6,57E-04;3,66E-04;3,70E-04;2,84E-04;1,70E-03;6,76E-05;9,56E-04
554;3,03E-03;1,10E-27;1,10E-27;1,10E-27;1,10E-05;1,25E-03;4,39E-04;5,80E-04;2,59E-03;6,54E-04;2,53E-04;3,35E-05;1,10E-27;1,10E-27;4,77E-04;5,62E-04;1,91E-03;2,56E-03;6,27E-04;3,75E-04;3,62E-04;2,60E-04;1,73E-03;6,26E-05;9,22E-04
556;3,02E-03;1,10E-27;1,10E-27;1,10E-27;8,59E-06;1,15E-03;3,90E-04;5,15E-04;2,60E-03;7,24E-04;2,52E-04;3,07E-05;1,10E-27;1,10E-27;4,57E-04;5,34E-04;1,87E-03;2,52E-03;5,92E-04;3,83E-04;3,56E-04;2,36E-04;1,76E-03;5,82E-05;8,78E-04
